home_score,away_score,two_zero,home_team,away_team
3,0,home,VEL,ARGJ
3,0,home,QUI,CABJ
2,1,home,SL,SMSJ
1,2,away,CARP,BEL
0,2,away,EST,CARP
0,2,away,ARGJ,RAC
2,0,home,CABJ,TIG
2,0,home,RAC,IND
2,0,home,GCM,RAF
0,2,away,VEL,LAN
2,3,away,TIG,CARP
2,0,home,NOB,SMSJ
0,3,away,SMSJ,VEL
4,0,home,SMSJ,ARS
2,1,home,RAF,ALLB
2,1,home,SL,COL
2,0,home,LAN,GCM
0,2,away,ARS,BEL
2,0,home,VEL,CARP
3,0,home,RAF,TIG
3,3,home,ARGJ,USF
1,2,away,COL,NOB
4,0,home,SMSJ,QUI
2,0,home,LAN,CABJ
0,4,away,ARS,CARP
1,2,away,USF,IND
2,4,away,VEL,COL
2,0,home,LAN,USF
2,0,home,IND,RAF
5,0,home,CARP,GCM
2,0,home,ARS,COL
1,2,away,RAF,LAN
2,1,home,NOB,ARS
2,2,home,CARP,CABJ
1,3,away,RAF,BEL
1,5,away,ARS,VEL
0,2,away,IND,LAN
4,0,home,SL,ALLB
2,0,home,CARP,USF
2,1,home,LAN,SMSJ
2,0,home,EST,IND
3,0,home,ARS,GCM
2,0,home,COL,USF
2,2,home,SMSJ,TIG
1,2,away,NOB,ALLB
4,0,home,RAC,QUI
2,2,home,USF,NOB
1,2,away,ARGJ,SL
0,2,away,ALLB,VEL
2,0,home,TIG,GCM
3,1,home,CABJ,RAC
1,2,away,QUI,ARS
2,0,home,RAF,COL
3,1,home,RAC,ALLB
2,0,home,VEL,USF
3,0,home,NOB,RAF
2,0,home,EST,SMSJ
1,3,away,ARGJ,NOB
0,3,away,RAF,VEL
0,2,away,SMSJ,CARP
