home_score,away_score,two_zero,home_team,away_team
2,0,home,OBB,SL
2,1,home,ARGJ,GCM
3,0,home,RAC,COL
2,0,home,GCM,QUI
1,3,away,ARS,VEL
3,0,home,GLP,NOB
0,3,away,LAN,RAF
0,2,away,OBB,ARS
3,0,home,VEL,ALLB
0,2,away,QUI,COL
0,2,away,ARGJ,SL
4,1,home,NOB,RAF
3,1,home,COL,CARP
3,0,home,GCM,ROS
2,2,home,GLP,BEL
0,2,away,GCM,GLP
2,0,home,OBB,LAN
2,0,home,CABJ,OBB
4,1,home,NOB,VEL
0,2,away,ARS,QUI
0,2,away,ARGJ,LAN
1,2,away,QUI,ALLB
3,1,home,RAF,VEL
2,0,home,NOB,RAC
2,0,home,RAC,BEL
2,0,home,ROS,ALLB
2,0,home,CARP,LAN
2,0,home,SL,ARS
2,2,home,RAF,QUI
3,0,home,CABJ,GCM
0,2,away,OBB,GLP
2,0,home,TIG,ALLB
1,4,away,SL,LAN
2,0,home,CARP,RAF
3,0,home,OBB,ARGJ
1,3,away,VEL,QUI
3,1,home,ARS,LAN
2,1,home,GLP,ALLB
0,2,away,ARGJ,GLP
4,1,home,VEL,ROS
0,2,away,COL,EST
2,0,home,SL,RAF
3,2,home,ARS,NOB
3,0,home,EST,SL
2,0,home,VEL,COL
0,2,away,ARGJ,CARP
3,2,home,ROS,ARGJ
5,0,home,CARP,QUI
3,0,home,GCM,BAN
1,3,away,DYJ,RAC
3,0,home,IND,RAF
2,1,home,OBB,TIG
2,0,home,RAC,SL
2,0,home,CARP,ROS
2,2,home,QUI,GCM
2,1,home,RAF,LAN
4,0,home,TIG,RAC
0,4,away,IND,VEL
0,2,away,SL,BAN
0,3,away,CABJ,RAF
0,4,away,GCM,CARP
3,0,home,CARP,DYJ
3,1,home,EST,CABJ
0,3,away,QUI,SL
2,0,home,GLP,GCM
1,3,away,DYJ,ROS
3,0,home,BEL,RAF
2,0,home,RAF,GLP
2,0,home,CARP,TIG
4,0,home,QUI,ARS
0,3,away,GLP,DYJ
4,1,home,CARP,IND
2,0,home,IND,ROS
0,2,away,SL,GLP
3,0,home,ARS,GCM
0,3,away,NOB,BAN
2,0,home,SL,OBB
2,0,home,GLP,VEL
0,2,away,SL,TIG
0,2,away,RAC,RAF
1,2,away,ROS,LAN
3,3,home,LAN,GCM
4,1,home,VEL,OBB
0,4,away,EST,RAC
2,2,home,RAF,BAN
1,2,away,SL,IND
1,2,away,DYJ,LAN
2,0,home,ROS,NOB
2,0,home,RAC,VEL
3,0,home,CARP,BEL
3,1,away,IND,TIG
2,2,away,NOB,GCM
2,0,home,CABJ,DYJ
3,0,home,BAN,OBB
2,1,home,QUI,VEL
0,2,away,ROS,RAF
2,0,home,SL,CABJ
2,1,home,OBB,QUI
3,0,home,BEL,DYJ
2,0,home,CABJ,TIG
3,0,home,TIG,LAN
2,1,home,DYJ,RAF
4,0,home,SL,BEL
2,0,home,RAF,SL
1,4,away,VEL,GCM
2,0,home,LAN,GLP
3,0,home,GLP,QUI
0,2,away,DYJ,VEL
4,0,home,SL,EST
0,3,away,ROS,RAC
2,2,home,LAN,CABJ
0,3,away,GCM,OBB
0,2,away,ARS,BEL
1,6,away,RAF,ARS
4,0,home,BEL,IND
0,2,away,CABJ,GLP
