player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against,team_goals,ag_team_goals,90m_player_goals,ag_90m_player_goals,90m_team_goals,ag_90m_team_goals
b'Guillermo Farr?',BEL,18.0,19.0,1201.0,964.0,25.0,29.0,7.0,10.0,1.3488759367194005,1.4238134887593672,0.6535269709543569,0.9336099585062241
b'Danovis Banguero',TOL,0.0,1.0,94.0,846.0,12.0,11.0,12.0,10.0,0.0,0.9574468085106383,1.2765957446808511,1.0638297872340425
b'Daniel Gonz?lez',SMSJ,19.0,19.0,1128.0,683.0,25.0,25.0,6.0,6.0,1.5159574468085106,1.5159574468085106,0.7906295754026355,0.7906295754026355
b'Baltasar Silva',Plaza Coloni,1.0,0.0,78.0,110.0,1.0,1.0,0.0,1.0,1.1538461538461537,0.0,0.0,0.8181818181818182
b'Walter Serrano',RAF,10.0,25.0,1149.0,643.0,16.0,32.0,6.0,7.0,0.783289817232376,1.95822454308094,0.8398133748055988,0.9797822706065319
b'Jefferson',Figueirense,1.0,3.0,36.0,165.0,5.0,5.0,4.0,2.0,2.5,7.5,2.1818181818181817,1.0909090909090908
b'Pedro Ben?tez',Libertad,0.0,4.0,186.0,0.0,0.0,4.0,0.0,0.0,0.0,1.935483870967742,0.0,0.0
b'Julio Cesar',Cuiaba,1.0,3.0,93.0,94.0,2.0,3.0,1.0,0.0,0.967741935483871,2.903225806451613,0.9574468085106383,0.0
b'Gatito Fern?ndez',Figueirense,5.0,5.0,201.0,0.0,5.0,5.0,0.0,0.0,2.2388059701492535,2.2388059701492535,0.0,0.0
b'Nahuel Luna',EST,0.0,0.0,26.0,2139.0,36.0,13.0,36.0,13.0,0.0,0.0,1.514726507713885,0.5469845722300141
b'Adalberto Rom?n',Libertad,0.0,3.0,92.0,94.0,0.0,4.0,0.0,1.0,0.0,2.9347826086956523,0.0,0.9574468085106383
b'Nicol?s Saucedo',TOL,0.0,5.0,170.0,770.0,12.0,11.0,12.0,6.0,0.0,2.6470588235294117,1.4025974025974026,0.7012987012987013
b'Claudio Herrera',River Plate,2.0,4.0,142.0,516.0,6.0,14.0,4.0,10.0,1.267605633802817,2.535211267605634,0.6976744186046512,1.744186046511628
b'Jony',TDC,0.0,0.0,17.0,361.0,1.0,3.0,1.0,3.0,0.0,0.0,0.24930747922437674,0.7479224376731302
