player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against,team_goals,ag_team_goals,90m_player_goals,ag_90m_player_goals,90m_team_goals,ag_90m_team_goals
b'Paulo Lima',TIG,1.0,4.0,104.0,1781.0,23.0,23.0,22.0,19.0,0.8653846153846154,3.4615384615384617,1.1117349803481191,0.9601347557551937
b'Luis Luis Olivera Moreira',CARP,1.0,1.0,159.0,2483.0,46.0,33.0,45.0,32.0,0.5660377358490566,0.5660377358490566,1.631091421667338,1.1598872331856624
b'Milton Valenzuela',NOB,1.0,0.0,8.0,1871.0,22.0,23.0,21.0,23.0,11.25,0.0,1.0101549973276323,1.1063602351683592
b'Dylan Gissi',ROS,0.0,0.0,94.0,2751.0,38.0,29.0,38.0,29.0,0.0,0.0,1.243184296619411,0.9487459105779716
b'Diego Ifr?n',Peñarol,0.0,1.0,24.0,724.0,6.0,12.0,6.0,11.0,0.0,3.75,0.7458563535911602,1.367403314917127
b'Alfredo Saldivar',UNAM,3.0,4.0,188.0,752.0,22.0,12.0,19.0,8.0,1.4361702127659575,1.9148936170212767,2.273936170212766,0.9574468085106383
b'?scar Padula Castro',Bolívar,1.0,4.0,46.0,894.0,14.0,14.0,13.0,10.0,1.9565217391304348,7.826086956521739,1.308724832214765,1.0067114093959733
b'Eduard Atuesta',DIM,1.0,0.0,31.0,439.0,7.0,3.0,6.0,3.0,2.903225806451613,0.0,1.2300683371298406,0.6150341685649203
b'Juan Espinoza',U Católica,1.0,3.0,95.0,94.0,2.0,4.0,1.0,1.0,0.9473684210526315,2.8421052631578947,0.9574468085106383,0.9574468085106383
b'Agust?n Far?as',Palestino,7.0,3.0,471.0,0.0,7.0,3.0,0.0,0.0,1.3375796178343948,0.5732484076433121,0.0,0.0
b'Francisco Dutari',SARM,10.0,12.0,1425.0,466.0,12.0,19.0,2.0,7.0,0.631578947368421,0.7578947368421053,0.38626609442060084,1.351931330472103
b'Juan Pablo Aponte',Wilstermann,2.0,2.0,189.0,0.0,2.0,2.0,0.0,0.0,0.9523809523809523,0.9523809523809523,0.0,0.0
b'Rodin Qui??nez',NAL,0.0,0.0,1.0,1794.0,34.0,8.0,34.0,8.0,0.0,0.0,1.705685618729097,0.4013377926421405
b'Nicol?s Mazzola',GLP,0.0,2.0,68.0,1715.0,21.0,20.0,21.0,18.0,0.0,2.6470588235294117,1.1020408163265305,0.9446064139941691
b'Pedro Azogue',Oriente,0.0,3.0,93.0,0.0,0.0,3.0,0.0,0.0,0.0,2.903225806451613,0.0,0.0
b'Marcos D?az',HUR,31.0,28.0,2628.0,119.0,33.0,31.0,2.0,3.0,1.0616438356164384,0.958904109589041,1.5126050420168067,2.26890756302521
b'Diogo Silvestre Bittencourt',Peñarol,0.0,0.0,94.0,654.0,6.0,12.0,6.0,12.0,0.0,0.0,0.8256880733944955,1.651376146788991
b'Cristian Sosa',Sol de Améri,4.0,3.0,378.0,95.0,5.0,4.0,1.0,1.0,0.9523809523809523,0.7142857142857143,0.9473684210526315,0.9473684210526315
b'Marcelo Moreno',Dep Táchira,5.0,11.0,361.0,390.0,7.0,13.0,2.0,2.0,1.2465373961218837,2.742382271468144,0.46153846153846156,0.46153846153846156
b'Jonathan Cristaldo',PAL,3.0,2.0,140.0,430.0,11.0,8.0,8.0,6.0,1.9285714285714286,1.2857142857142858,1.6744186046511629,1.255813953488372
b'Jos? Luis Valdez',QUI,0.0,1.0,19.0,1862.0,24.0,38.0,24.0,37.0,0.0,4.7368421052631575,1.1600429645542427,1.7883995703544575
b'Paulo Roberto',Sport,0.0,1.0,155.0,34.0,0.0,1.0,0.0,0.0,0.0,0.5806451612903226,0.0,0.0
b'Marcelo Cirino',Flamengo,3.0,4.0,105.0,192.0,6.0,5.0,3.0,1.0,2.5714285714285716,3.4285714285714284,1.40625,0.46875
b'?verton',Flamengo,3.0,1.0,68.0,229.0,6.0,5.0,3.0,4.0,3.9705882352941178,1.3235294117647058,1.1790393013100438,1.5720524017467248
b'Alejandro R?bola',TIG,0.0,2.0,94.0,1791.0,23.0,23.0,23.0,21.0,0.0,1.9148936170212767,1.1557788944723617,1.0552763819095476
b'Kevin Mac Allister',ARGJ,2.0,10.0,372.0,1131.0,11.0,26.0,9.0,16.0,0.4838709677419355,2.4193548387096775,0.7161803713527851,1.273209549071618
b'Almir de Jes?s',SFE,0.0,2.0,55.0,699.0,11.0,4.0,11.0,2.0,0.0,3.272727272727273,1.4163090128755365,0.2575107296137339
b'Alan Aguerre',VEL,22.0,25.0,1751.0,135.0,22.0,26.0,0.0,1.0,1.1307824100513992,1.2849800114220447,0.0,0.6666666666666666
b'Josu? Ayala',TUC,1.0,0.0,95.0,1694.0,28.0,25.0,27.0,25.0,0.9473684210526315,0.0,1.4344746162927982,1.3282172373081464
b'Nico Lopez',Nacional,9.0,7.0,710.0,234.0,10.0,10.0,1.0,3.0,1.1408450704225352,0.8873239436619719,0.38461538461538464,1.1538461538461537
b'Lucas Cano',ARGJ,1.0,2.0,137.0,1366.0,11.0,26.0,10.0,24.0,0.656934306569343,1.313868613138686,0.6588579795021962,1.581259150805271
b'Emiliano Amor',VEL,6.0,5.0,262.0,1624.0,22.0,26.0,16.0,21.0,2.0610687022900764,1.717557251908397,0.8866995073891626,1.1637931034482758
b'Osvaldo Barsottini',GLP,9.0,12.0,626.0,1157.0,21.0,20.0,12.0,8.0,1.293929712460064,1.7252396166134185,0.9334485738980121,0.6222990492653414
b'Yonathan Cabral',RAC,8.0,7.0,437.0,2290.0,49.0,37.0,41.0,30.0,1.6475972540045767,1.4416475972540046,1.611353711790393,1.1790393013100438
b'Marcelo Grohe',Gremio,10.0,10.0,748.0,0.0,10.0,10.0,0.0,0.0,1.2032085561497325,1.2032085561497325,0.0,0.0
b'Gustavo Lorenzetti',U. de Chile,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'Tom?s Cardona',DYJ,7.0,8.0,809.0,1093.0,27.0,22.0,20.0,14.0,0.7787391841779975,0.8899876390605687,1.646843549862763,1.152790484903934
b'Te?filo Guti?rrez',ROS,2.0,1.0,236.0,2609.0,38.0,29.0,36.0,28.0,0.7627118644067796,0.3813559322033898,1.241855116903028,0.9658873131467995
b'Mauro Albertengo',RAF,3.0,5.0,275.0,1517.0,16.0,32.0,13.0,27.0,0.9818181818181818,1.6363636363636365,0.7712590639419907,1.6018457481872117
b'Federico L?rtora',ARS,24.0,17.0,1795.0,-6.0,23.0,19.0,-1.0,2.0,1.2033426183844012,0.8523676880222841,15.0,-30.0
b'Diego Lugano',PAU,4.0,4.0,290.0,945.0,20.0,14.0,16.0,10.0,1.2413793103448276,1.2413793103448276,1.5238095238095237,0.9523809523809523
b'Donald Mill?n',CVL,0.0,1.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0
b'Nicol?s Silva',COL,7.0,19.0,736.0,1050.0,24.0,31.0,17.0,12.0,0.8559782608695652,2.323369565217391,1.457142857142857,1.0285714285714285
b'Agust?n Orion',CABJ,34.0,22.0,2510.0,490.0,42.0,29.0,8.0,7.0,1.2191235059760956,0.7888446215139442,1.469387755102041,1.2857142857142858
b'Matias Lequi',SARM,7.0,9.0,802.0,1089.0,12.0,19.0,5.0,10.0,0.7855361596009975,1.0099750623441397,0.4132231404958678,0.8264462809917356
b'Tom?s Sandoval',COL,2.0,4.0,67.0,1719.0,24.0,31.0,22.0,27.0,2.6865671641791047,5.373134328358209,1.1518324607329844,1.4136125654450262
b'Mateo Castellano',RAF,5.0,7.0,360.0,1432.0,16.0,32.0,11.0,25.0,1.25,1.75,0.6913407821229051,1.5712290502793296
b'Mat?as Sarulyte',QUI,3.0,7.0,377.0,1504.0,24.0,38.0,21.0,31.0,0.7161803713527851,1.6710875331564987,1.2566489361702127,1.8550531914893618
b'Carlos Cesar',AMG,1.0,2.0,29.0,917.0,16.0,7.0,15.0,5.0,3.103448275862069,6.206896551724138,1.4721919302071973,0.49073064340239914
b'Fabricio Coloccini',SL,2.0,4.0,167.0,2660.0,41.0,34.0,39.0,30.0,1.0778443113772456,2.155688622754491,1.3195488721804511,1.0150375939849625
b'Richard Blanco',Zamora,2.0,4.0,319.0,58.0,2.0,4.0,0.0,0.0,0.5642633228840125,1.128526645768025,0.0,0.0
b'Denis Rodr?guez',NOB,7.0,9.0,297.0,1582.0,22.0,23.0,15.0,14.0,2.121212121212121,2.727272727272727,0.8533501896333755,0.7964601769911505
b'Luis Abram Ugarelli',SCL,0.0,1.0,9.0,557.0,9.0,15.0,9.0,14.0,0.0,10.0,1.4542190305206464,2.2621184919210053
b'Ferreira Da Silva Carlos Jean',Olimpia,0.0,0.0,17.0,546.0,12.0,12.0,12.0,12.0,0.0,0.0,1.978021978021978,1.978021978021978
b'Lucas Villarruel',HUR,13.0,12.0,851.0,1896.0,33.0,31.0,20.0,19.0,1.3748531139835487,1.2690951821386605,0.9493670886075949,0.9018987341772152
b'Gustavo Colman',ROS,18.0,14.0,1037.0,1808.0,38.0,29.0,20.0,15.0,1.562198649951784,1.2150433944069432,0.995575221238938,0.7466814159292036
b'Francisco Ben?tez',Luqueño,3.0,4.0,376.0,0.0,3.0,4.0,0.0,0.0,0.7180851063829787,0.9574468085106383,0.0,0.0
b'Kelvin',PAU,16.0,7.0,570.0,665.0,20.0,14.0,4.0,7.0,2.526315789473684,1.105263157894737,0.5413533834586466,0.9473684210526315
b'Aldo Araujo',TDC,1.0,1.0,203.0,175.0,1.0,3.0,0.0,2.0,0.4433497536945813,0.4433497536945813,0.0,1.0285714285714285
b'David Toledo',PUE,0.0,1.0,94.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9574468085106383,0.0,0.0
b'Facundo Quign?n',NOB,7.0,2.0,346.0,1533.0,22.0,23.0,15.0,21.0,1.8208092485549132,0.5202312138728323,0.8806262230919765,1.2328767123287672
b'Andres Franzoia',SARM,0.0,5.0,144.0,1747.0,12.0,19.0,12.0,14.0,0.0,3.125,0.6182026330852891,0.7212364052661706
b'Cristian Villagra',ROS,12.0,16.0,1121.0,1724.0,38.0,29.0,26.0,13.0,0.9634255129348795,1.2845673505798394,1.357308584686775,0.6786542923433875
b'Marcos Senesi',SL,1.0,0.0,93.0,2734.0,41.0,34.0,40.0,34.0,0.967741935483871,0.0,1.3167520117044624,1.119239209948793
b'Victor Figueroa',COL,21.0,27.0,1053.0,733.0,24.0,31.0,3.0,4.0,1.794871794871795,2.3076923076923075,0.3683492496589359,0.49113233287858116
b'Antony Domingo Silva',Cerro Porteñ,17.0,13.0,1132.0,0.0,17.0,13.0,0.0,0.0,1.3515901060070672,1.0335689045936396,0.0,0.0
b'Marcos Riveros',Cerro Porteñ,12.0,8.0,695.0,437.0,17.0,13.0,5.0,5.0,1.5539568345323742,1.0359712230215827,1.0297482837528604,1.0297482837528604
b'Francisco N?jera',NAL,9.0,2.0,468.0,1327.0,34.0,8.0,25.0,6.0,1.7307692307692308,0.38461538461538464,1.6955538809344386,0.4069329314242653
b'Ezequiel Barcos',IND,6.0,2.0,385.0,1773.0,30.0,14.0,24.0,12.0,1.4025974025974026,0.4675324675324675,1.218274111675127,0.6091370558375635
b'Alexis Z?rate',TEMP,2.0,7.0,355.0,1534.0,16.0,26.0,14.0,19.0,0.5070422535211268,1.7746478873239437,0.8213820078226858,1.1147327249022165
b'Leandro Martinez',SMSJ,5.0,9.0,303.0,1508.0,25.0,25.0,20.0,16.0,1.4851485148514851,2.6732673267326734,1.193633952254642,0.9549071618037135
b'Omar P?rez',SFE,3.0,0.0,173.0,581.0,11.0,4.0,8.0,4.0,1.560693641618497,0.0,1.2392426850258176,0.6196213425129088
b'Diego Gonz?lez',RAC,3.0,0.0,93.0,2634.0,49.0,37.0,46.0,37.0,2.903225806451613,0.0,1.571753986332574,1.2642369020501139
b'Roberto Cereceda',Palestino,7.0,3.0,471.0,0.0,7.0,3.0,0.0,0.0,1.3375796178343948,0.5732484076433121,0.0,0.0
b'Jorge Moreira',CARP,9.0,5.0,378.0,2264.0,46.0,33.0,37.0,28.0,2.142857142857143,1.1904761904761905,1.4708480565371025,1.1130742049469964
b'Ezequiel Rescaldani',QUI,24.0,23.0,1141.0,740.0,24.0,38.0,0.0,15.0,1.8930762489044697,1.8141980718667836,0.0,1.8243243243243243
b'Facundo Castill?n',GLP,16.0,16.0,938.0,845.0,21.0,20.0,5.0,4.0,1.535181236673774,1.535181236673774,0.5325443786982249,0.4260355029585799
b'Eyal Strahman',TDC,0.0,0.0,79.0,299.0,1.0,3.0,1.0,3.0,0.0,0.0,0.3010033444816054,0.903010033444816
b'Rodrigo Gomez',IND,13.0,4.0,264.0,1894.0,30.0,14.0,17.0,10.0,4.431818181818182,1.3636363636363635,0.8078141499472017,0.4751847940865892
b'Robert Piris Da Motta',Olimpia,8.0,10.0,379.0,184.0,12.0,12.0,4.0,2.0,1.8997361477572559,2.37467018469657,1.9565217391304348,0.9782608695652174
b'?ngelo Gonz?lez',GCM,10.0,7.0,510.0,1468.0,29.0,21.0,19.0,14.0,1.7647058823529411,1.2352941176470589,1.164850136239782,0.8583106267029973
b'Carlos Rodr?guez',OBB,15.0,5.0,876.0,1011.0,14.0,21.0,-1.0,16.0,1.5410958904109588,0.5136986301369864,-0.08902077151335312,1.42433234421365
b'Nicol?s Dibble',Peñarol,1.0,1.0,186.0,562.0,6.0,12.0,5.0,11.0,0.4838709677419355,0.4838709677419355,0.800711743772242,1.7615658362989324
b'Everton',Gremio,5.0,5.0,336.0,412.0,10.0,10.0,5.0,5.0,1.3392857142857142,1.3392857142857142,1.0922330097087378,1.0922330097087378
b'Gonzalo Di Renzo',SARM,2.0,2.0,312.0,1579.0,12.0,19.0,10.0,17.0,0.5769230769230769,0.5769230769230769,0.5699810006333123,0.9689677010766308
b'Mauro Bogado',HUR,30.0,29.0,2345.0,402.0,33.0,31.0,3.0,2.0,1.1513859275053304,1.1130063965884862,0.6716417910447762,0.44776119402985076
b'Domingo Blanco',IND,5.0,1.0,143.0,2015.0,30.0,14.0,25.0,13.0,3.1468531468531467,0.6293706293706294,1.1166253101736974,0.5806451612903226
b'Claudio Ria?o',USF,20.0,16.0,1061.0,823.0,26.0,23.0,6.0,7.0,1.696512723845429,1.3572101790763431,0.6561360874848117,0.7654921020656136
b'Ganso',PAU,17.0,7.0,864.0,371.0,20.0,14.0,3.0,7.0,1.7708333333333333,0.7291666666666666,0.7277628032345014,1.6981132075471699
b'Jos? Angulo',Independient,18.0,13.0,1315.0,102.0,19.0,14.0,1.0,1.0,1.231939163498099,0.8897338403041825,0.8823529411764706,0.8823529411764706
b'Bernardo',Coritiba FBC,1.0,0.0,60.0,222.0,3.0,4.0,2.0,4.0,1.5,0.0,0.8108108108108109,1.6216216216216217
b'Fabi?n Assmann',VEL,0.0,2.0,107.0,1779.0,22.0,26.0,22.0,24.0,0.0,1.6822429906542056,1.1129848229342327,1.2141652613827993
b'Pablo Calandria',O'Higgins,0.0,0.0,12.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'Ernesto Hernandez',DCI,2.0,7.0,280.0,277.0,7.0,18.0,5.0,11.0,0.6428571428571429,2.25,1.6245487364620939,3.5740072202166067
b'Patricio Toranzo',HUR,4.0,6.0,331.0,2416.0,33.0,31.0,29.0,25.0,1.0876132930513596,1.6314199395770392,1.080298013245033,0.9312913907284768
b'Diego Rivero',Blooming,1.0,2.0,139.0,237.0,2.0,4.0,1.0,2.0,0.6474820143884892,1.2949640287769784,0.379746835443038,0.759493670886076
b'Orlando Berr?o',NAL,25.0,8.0,1138.0,657.0,34.0,8.0,9.0,0.0,1.9771528998242531,0.632688927943761,1.2328767123287672,0.0
b'Agust?n Pelletieri',LAN,5.0,5.0,336.0,1826.0,33.0,14.0,28.0,9.0,1.3392857142857142,1.3392857142857142,1.380065717415115,0.44359255202628695
b'Cristian Palacios',TEMP,6.0,13.0,357.0,1532.0,16.0,26.0,10.0,13.0,1.5126050420168067,3.277310924369748,0.587467362924282,0.7637075718015666
b'Nahuel Z?rate',USF,3.0,1.0,382.0,1502.0,26.0,23.0,23.0,22.0,0.7068062827225131,0.2356020942408377,1.378162450066578,1.3182423435419441
b'Pablo Vel?zquez',Cerro Porteñ,9.0,3.0,290.0,842.0,17.0,13.0,8.0,10.0,2.793103448275862,0.9310344827586207,0.8551068883610451,1.0688836104513064
b'Barboza',Wanderers,2.0,0.0,402.0,70.0,2.0,0.0,0.0,0.0,0.44776119402985076,0.0,0.0,0.0
b'James Sanches',JUN,4.0,1.0,160.0,312.0,8.0,3.0,4.0,2.0,2.25,0.5625,1.1538461538461537,0.5769230769230769
b'Ciro Rius',DYJ,7.0,6.0,521.0,1381.0,27.0,22.0,20.0,16.0,1.2092130518234165,1.036468330134357,1.3034033309196236,1.0427226647356989
b'Augusto Solari',EST,33.0,12.0,1808.0,357.0,36.0,13.0,3.0,1.0,1.6426991150442478,0.5973451327433629,0.7563025210084033,0.25210084033613445
b'Paulo Ferrari',ROS,10.0,8.0,714.0,2131.0,38.0,29.0,28.0,21.0,1.2605042016806722,1.0084033613445378,1.1825434068512435,0.8869075551384327
b'Diego Guastavino',UDS,0.0,3.0,94.0,93.0,1.0,6.0,1.0,3.0,0.0,2.872340425531915,0.967741935483871,2.903225806451613
b'Ezequiel Rodr?guez',ROS,1.0,0.0,90.0,2755.0,38.0,29.0,37.0,29.0,1.0,0.0,1.208711433756806,0.9473684210526315
b'Leandro Fern?ndez',NOB,3.0,3.0,94.0,1785.0,22.0,23.0,19.0,20.0,2.872340425531915,2.872340425531915,0.957983193277311,1.0084033613445378
b'Rodrigo Burgos',TDC,0.0,1.0,196.0,182.0,1.0,3.0,1.0,2.0,0.0,0.45918367346938777,0.4945054945054945,0.989010989010989
b'Emanuel Herrera',Emelec,6.0,8.0,169.0,776.0,18.0,19.0,12.0,11.0,3.195266272189349,4.260355029585799,1.3917525773195876,1.2757731958762886
b'Nicol?s Ram?rez',U. de Chile,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'Victor Victor Ferreira Barrios',SHO,1.0,2.0,36.0,343.0,3.0,4.0,2.0,2.0,2.5,5.0,0.5247813411078717,0.5247813411078717
b'Rodney Wallace',Sport,0.0,0.0,81.0,108.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334
b'Werner Schuler',MGR,0.0,3.0,147.0,416.0,2.0,12.0,2.0,9.0,0.0,1.836734693877551,0.4326923076923077,1.9471153846153846
b'Fainer Torijano',TOL,0.0,1.0,188.0,752.0,12.0,11.0,12.0,10.0,0.0,0.4787234042553192,1.4361702127659575,1.196808510638298
b'Luis Fari?a',U. de Chile,0.0,0.0,70.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'Luciano Cabral',ARGJ,6.0,23.0,833.0,670.0,11.0,26.0,5.0,3.0,0.6482593037214885,2.4849939975990396,0.6716417910447762,0.40298507462686567
b'Gast?n Bottino',QUI,15.0,22.0,1237.0,644.0,24.0,38.0,9.0,16.0,1.0913500404203718,1.6006467259498787,1.2577639751552796,2.2360248447204967
b'Emiliano Papa',TIG,19.0,17.0,1258.0,627.0,23.0,23.0,4.0,6.0,1.3593004769475359,1.2162162162162162,0.5741626794258373,0.861244019138756
b'Alberto Rodr?guez',SCL,9.0,15.0,566.0,0.0,9.0,15.0,0.0,0.0,1.431095406360424,2.385159010600707,0.0,0.0
b'Jose Reyes',Dep Táchira,4.0,7.0,330.0,421.0,7.0,13.0,3.0,6.0,1.0909090909090908,1.9090909090909092,0.6413301662707839,1.2826603325415677
b'Mart?n Rodriguez',Colo Colo,2.0,4.0,351.0,210.0,4.0,5.0,2.0,1.0,0.5128205128205128,1.0256410256410255,0.8571428571428571,0.42857142857142855
b'M?rio Santos Costa',ECV,2.0,2.0,188.0,0.0,2.0,2.0,0.0,0.0,0.9574468085106383,0.9574468085106383,0.0,0.0
b'Nahuel Yeri',BAN,2.0,9.0,485.0,1585.0,22.0,29.0,20.0,20.0,0.3711340206185567,1.6701030927835052,1.135646687697161,1.135646687697161
b'Bruno Henrique',COR,10.0,6.0,616.0,135.0,16.0,6.0,6.0,0.0,1.4610389610389611,0.8766233766233766,4.0,0.0
b'Cristian Men?ndez',TUC,24.0,23.0,1524.0,265.0,28.0,25.0,4.0,2.0,1.4173228346456692,1.358267716535433,1.3584905660377358,0.6792452830188679
b'Mateus Caramelo',PAU,4.0,5.0,275.0,960.0,20.0,14.0,16.0,9.0,1.309090909090909,1.6363636363636365,1.5,0.84375
b'Maximiliano Lugo',SMSJ,12.0,8.0,530.0,1281.0,25.0,25.0,13.0,17.0,2.0377358490566038,1.3584905660377358,0.9133489461358314,1.1943793911007026
b'Mat?as Rojas',Cerro Porteñ,5.0,0.0,140.0,992.0,17.0,13.0,12.0,13.0,3.2142857142857144,0.0,1.0887096774193548,1.1794354838709677
b'Jorge',Flamengo,4.0,1.0,191.0,106.0,6.0,5.0,2.0,4.0,1.8848167539267016,0.4712041884816754,1.6981132075471699,3.3962264150943398
b'Canela',Chapecoense ,3.0,1.0,48.0,233.0,3.0,2.0,0.0,1.0,5.625,1.875,0.0,0.38626609442060084
b'Mario Paglialunga',OBB,3.0,7.0,277.0,1610.0,14.0,21.0,11.0,14.0,0.9747292418772563,2.2743682310469313,0.6149068322981367,0.782608695652174
b'Luis Orejuela',DCI,0.0,4.0,32.0,525.0,7.0,18.0,7.0,14.0,0.0,11.25,1.2,2.4
b'Ezequiel Luna',Palestino,7.0,3.0,471.0,0.0,7.0,3.0,0.0,0.0,1.3375796178343948,0.5732484076433121,0.0,0.0
b'Juan Dinenno',ALDO,8.0,13.0,358.0,1538.0,20.0,32.0,12.0,19.0,2.011173184357542,3.2681564245810057,0.7022106631989596,1.1118335500650196
b'Javier Mendoza',GLP,6.0,7.0,308.0,1475.0,21.0,20.0,15.0,13.0,1.7532467532467533,2.0454545454545454,0.9152542372881356,0.7932203389830509
b'Uederson Ferreira Paulino',Cuiaba,2.0,3.0,109.0,78.0,2.0,3.0,0.0,0.0,1.651376146788991,2.477064220183486,0.0,0.0
b'Edgar P?rez Greco',Dep Táchira,7.0,9.0,603.0,148.0,7.0,13.0,0.0,4.0,1.044776119402985,1.3432835820895523,0.0,2.4324324324324325
b'Hugo Su?rez',Blooming,2.0,4.0,376.0,0.0,2.0,4.0,0.0,0.0,0.4787234042553192,0.9574468085106383,0.0,0.0
b'Alfredo Ramua',SCL,6.0,12.0,208.0,358.0,9.0,15.0,3.0,3.0,2.5961538461538463,5.1923076923076925,0.7541899441340782,0.7541899441340782
b'Leandro Benegas',Palestino,7.0,3.0,461.0,10.0,7.0,3.0,0.0,0.0,1.3665943600867678,0.5856832971800434,0.0,0.0
b'Henal',Cuiaba,1.0,0.0,94.0,93.0,2.0,3.0,1.0,3.0,0.9574468085106383,0.0,0.967741935483871,2.903225806451613
b'Juan Ignacio L?pez',SARM,2.0,0.0,90.0,1801.0,12.0,19.0,10.0,19.0,2.0,0.0,0.4997223764575236,0.9494725152692949
b'Juan Cazares',AMG,11.0,4.0,396.0,550.0,16.0,7.0,5.0,3.0,2.5,0.9090909090909091,0.8181818181818182,0.4909090909090909
b'Giovanni Augusto',COR,10.0,6.0,480.0,271.0,16.0,6.0,6.0,0.0,1.875,1.125,1.992619926199262,0.0
b'Jackson Caucaia',Figueirense,5.0,5.0,201.0,0.0,5.0,5.0,0.0,0.0,2.2388059701492535,2.2388059701492535,0.0,0.0
b'Walter Bou',GLP,21.0,24.0,1347.0,436.0,21.0,20.0,0.0,-4.0,1.4031180400890868,1.6035634743875278,0.0,-0.8256880733944955
b'Josepmir Ball?n',SCL,9.0,15.0,566.0,0.0,9.0,15.0,0.0,0.0,1.431095406360424,2.385159010600707,0.0,0.0
b'Leandro Des?bato',EST,31.0,28.0,2396.0,-231.0,36.0,13.0,5.0,-15.0,1.164440734557596,1.0517529215358932,-1.948051948051948,5.8441558441558445
b'Jonathan Ferrari',CAP,16.0,19.0,1376.0,521.0,20.0,28.0,4.0,9.0,1.0465116279069768,1.242732558139535,0.690978886756238,1.5547024952015356
b'Franco Fragapane',ARS,2.0,4.0,173.0,1616.0,23.0,19.0,21.0,15.0,1.0404624277456647,2.0809248554913293,1.1695544554455446,0.8353960396039604
b'Nicolas Benedetti',DCI,1.0,0.0,29.0,528.0,7.0,18.0,6.0,18.0,3.103448275862069,0.0,1.0227272727272727,3.0681818181818183
b'Arouca',PAL,4.0,3.0,190.0,380.0,11.0,8.0,7.0,5.0,1.894736842105263,1.4210526315789473,1.6578947368421053,1.1842105263157894
b'Angel Far?a',Zamora,2.0,4.0,377.0,0.0,2.0,4.0,0.0,0.0,0.47745358090185674,0.9549071618037135,0.0,0.0
b'Mauricio Victorino',Nacional,10.0,8.0,752.0,192.0,10.0,10.0,0.0,2.0,1.196808510638298,0.9574468085106383,0.0,0.9375
b'Germ?n Montoya',RAF,7.0,17.0,785.0,1007.0,16.0,32.0,9.0,15.0,0.802547770700637,1.9490445859872612,0.8043694141012909,1.3406156901688182
b'Mariano Uglessich',QUI,6.0,11.0,502.0,1379.0,24.0,38.0,18.0,27.0,1.0756972111553784,1.9721115537848606,1.1747643219724437,1.7621464829586657
b'Fagner',COR,10.0,6.0,655.0,96.0,16.0,6.0,6.0,0.0,1.3740458015267176,0.8244274809160306,5.625,0.0
b'Nacho Scocco',NOB,22.0,22.0,1298.0,581.0,22.0,23.0,0.0,1.0,1.5254237288135593,1.5254237288135593,0.0,0.1549053356282272
b'Pablo Becker',ROS,5.0,6.0,275.0,2570.0,38.0,29.0,33.0,23.0,1.6363636363636365,1.9636363636363636,1.1556420233463034,0.8054474708171206
b'Henry Le?n',Emelec,2.0,4.0,188.0,757.0,18.0,19.0,16.0,15.0,0.9574468085106383,1.9148936170212767,1.9022457067371201,1.7833553500660502
b'Luis Morgillo',Deportivo La,6.0,4.0,474.0,188.0,8.0,9.0,2.0,5.0,1.139240506329114,0.759493670886076,0.9574468085106383,2.393617021276596
b'Exequiel Palacios',CARP,0.0,0.0,31.0,2611.0,46.0,33.0,46.0,33.0,0.0,0.0,1.5855993872079663,1.1374952125622366
b'Nicol?s Blandi',SL,33.0,27.0,1713.0,1114.0,41.0,34.0,8.0,7.0,1.733800350262697,1.4185639229422067,0.6463195691202872,0.5655296229802513
b'Eduar Preciado',Aucas,2.0,2.0,187.0,0.0,2.0,2.0,0.0,0.0,0.9625668449197861,0.9625668449197861,0.0,0.0
b'Juan Ignacio Cavallaro',EST,27.0,11.0,1192.0,973.0,36.0,13.0,9.0,2.0,2.0385906040268456,0.8305369127516778,0.8324768756423433,0.18499486125385406
b'Lucas Ruiz Diaz',River Plate,1.0,2.0,19.0,639.0,6.0,14.0,5.0,12.0,4.7368421052631575,9.473684210526315,0.704225352112676,1.6901408450704225
b'Marcos Rocha',AMG,16.0,7.0,946.0,0.0,16.0,7.0,0.0,0.0,1.522198731501057,0.6659619450317125,0.0,0.0
b'Jorge Fucile',Nacional,9.0,7.0,703.0,241.0,10.0,10.0,1.0,3.0,1.1522048364153628,0.8961593172119487,0.37344398340248963,1.120331950207469
b'Alex Bola?os',Aucas,2.0,2.0,187.0,0.0,2.0,2.0,0.0,0.0,0.9625668449197861,0.9625668449197861,0.0,0.0
b'Sa?l Salcedo',Olimpia,7.0,10.0,377.0,186.0,12.0,12.0,5.0,2.0,1.6710875331564987,2.387267904509284,2.4193548387096775,0.967741935483871
b'C?sar Rigamonti',QUI,3.0,7.0,377.0,1504.0,24.0,38.0,21.0,31.0,0.7161803713527851,1.6710875331564987,1.2566489361702127,1.8550531914893618
