player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against
Nahuel Rodr?guez,ARGJ,5,11,298,1205,11,26
Mat?as Mart?nez,ARGJ,4,14,464,1039,11,26
Francisco Dutari,SARM,8,10,1045,466,10,17
Sebasti?n B?rtoli,CAP,19,23,1518,0,19,23
Pablo P?rez,CABJ,7,5,624,877,14,13
Santiago Rosales,ALDO,19,27,1494,29,19,27
Gonzalo Bettini,BAN,15,20,1489,19,15,20
Carlos Bueno,SARM,6,18,684,827,10,17
Matias Ballini,TUC,9,4,281,1226,24,19
Matias Lequi,SARM,7,9,802,709,10,17
Josu? Ayala,TUC,1,0,95,1412,24,19
Gonzalo Papa,ARS,13,7,947,557,21,14
Marcelo Benitez,DYJ,4,3,279,1243,23,16
Dami?n Arce,QUI,5,6,123,1381,21,31
Francis Mac Allister,ARGJ,1,0,22,1481,11,26
Mauricio Carrasco,CAP,17,21,956,562,19,23
Lucas Perez Godoy,QUI,8,13,563,941,21,31
Ezequiel Cirigliano,TIG,10,9,426,1081,21,17
Juan Lucero,IND,1,0,75,1424,22,12
Mat?as Fissore,SMSJ,22,19,1431,94,22,20
Agust?n Diaz,RAF,8,21,910,598,14,32
Horacio Carabajal,GCM,13,6,417,1090,27,14
Brian Ferreira,OBB,0,0,4,1507,11,20
Santiago Zurbriggen,USF,20,20,1223,286,24,21
Cristian Villanueva,OBB,0,2,139,1372,11,20
Gast?n Bojanich,TEMP,14,21,1511,0,14,21
Franco Mussis,SL,14,10,674,834,23,16
Daniel Mancini,NOB,7,11,486,1018,16,21
Juan Manuel Garc?a,ROS,16,11,1140,379,17,15
Giovanni Simeone,BAN,15,19,1331,177,15,20
Agust?n Doffo,VEL,1,1,57,1452,19,19
Gast?n D?az,ALDO,29,32,1690,-167,19,27
Leonel Bontempo,QUI,13,20,905,599,21,31
Matias Morales,QUI,6,14,375,1129,21,31
Jes?s Jos? David M?ndez,IND,11,9,822,677,22,12
Juan Mattia,SMSJ,16,14,965,560,22,20
Walter Andrade,CAP,14,19,987,531,19,23
Gast?n Gim?nez,GCM,4,1,171,1336,27,14
Lucas Sosa,HUR,2,1,184,1333,21,15
Victor Cuesta,IND,22,12,1406,93,22,12
Alexis Castro,TIG,8,3,355,1152,21,17
Fabricio Alvarenga,VEL,14,11,719,790,19,19
Iv?n Etevenaux,BEL,15,17,1065,443,19,23
Joaqu?n Torres,NOB,0,1,22,1482,16,21
Federico Mancinelli,HUR,17,11,1328,189,21,15
Agust?n Fontana,BAN,1,2,18,1490,15,20
Patricio Romero,TEMP,4,10,664,847,14,21
Mario Bolatti,BEL,18,20,1167,341,19,23
Franco Troyansky,OBB,5,8,254,1257,11,20
Mat?as Ib??ez,LAN,1,3,93,1414,28,10
Pablo Mart?n Ledesma,COL,18,29,1159,344,21,31
Fernando Elizari,QUI,14,18,718,786,21,31
Diego Rodriguez,IND,18,7,922,577,22,12
