home_score,away_score,first_goal,home_team,away_team
3,0,home,NCHI,HUR
1,2,away,GCM,BAN
1,1,home,ALDO,COL
1,2,away,USF,RAC
4,2,away,GLP,ARGJ
2,1,home,SL,CRU
2,2,home,VEL,RAF
1,2,away,ARS,CABJ
0,1,away,CARP,SMSJ
1,1,away,RAF,NOB
1,0,home,BAN,GLP
0,1,away,OBB,QUI
2,1,home,RAC,ARS
1,1,home,SMSJ,IND
2,3,away,ARGJ,SL
0,1,away,CRU,NCHI
3,1,home,ROS,BEL
2,1,home,TIG,USF
2,0,home,CABJ,GCM
2,1,away,EST,CARP
4,0,home,DYJ,ALDO
2,0,home,ALDO,SMSJ
1,2,home,GLP,CABJ
0,1,away,NOB,COL
2,1,home,VEL,DYJ
2,0,home,ARS,TIG
0,1,away,SARM,RAF
1,1,home,CARP,HUR
0,1,away,USF,ROS
1,1,home,IND,EST
1,0,home,LAN,NCHI
1,1,away,BAN,ARGJ
2,1,home,TIG,GCM
1,3,home,CRU,LAN
1,0,home,ROS,ARS
1,1,away,HUR,IND
1,0,home,DYJ,NOB
2,1,away,TEMP,BEL
0,1,away,CABJ,SL
2,4,away,RAF,QUI
2,1,home,EST,ALDO
1,0,home,DYJ,ARS
1,2,away,NCHI,ARGJ
3,0,home,IND,RAC
1,2,home,SMSJ,GCM
1,0,home,HUR,SL
1,0,home,OBB,SARM
1,1,home,RAF,BEL
3,0,home,TIG,VEL
1,1,away,EST,GLP
0,1,away,CARP,CABJ
0,1,away,LAN,BAN
2,0,home,ALDO,CRU
2,1,home,SARM,DYJ
1,3,away,ARGJ,CABJ
1,3,away,GCM,ROS
2,1,home,IND,NCHI
1,1,away,GLP,TIG
1,0,home,NOB,SMSJ
0,1,away,VEL,EST
2,1,away,ARS,OBB
2,1,home,BAN,CRU
2,1,home,USF,TEMP
1,1,away,CARP,LAN
2,1,home,SL,RAC
1,0,home,QUI,COL
1,0,home,OBB,GCM
2,3,home,RAF,USF
3,1,home,NCHI,ALDO
