home_score,away_score,first_goal,home_team,away_team
3,0,home,VEL,ARGJ
1,1,away,RAC,RAF
1,0,home,COL,LAN
3,0,home,QUI,CABJ
1,1,home,GCM,ALLB
2,1,home,SL,SMSJ
1,2,away,CARP,BEL
1,2,away,TIG,EST
0,1,away,SMSJ,COL
0,1,away,LAN,NOB
0,2,away,EST,CARP
1,1,away,ALLB,QUI
0,2,away,ARGJ,RAC
0,1,away,USF,GCM
2,0,home,CABJ,TIG
3,1,home,CABJ,ALLB
0,1,away,SL,EST
2,0,home,RAC,IND
2,0,home,GCM,RAF
0,2,away,VEL,LAN
2,3,away,TIG,CARP
2,1,home,QUI,USF
2,0,home,NOB,SMSJ
2,2,home,ALLB,TIG
1,2,away,USF,CABJ
1,1,home,RAF,QUI
1,1,home,LAN,RAC
0,3,away,SMSJ,VEL
1,2,away,EST,COL
3,1,away,ALLB,USF
1,0,home,NOB,EST
1,0,home,ARS,LAN
1,1,home,TIG,SL
2,1,home,CABJ,RAF
2,1,away,GCM,IND
1,1,home,COL,CARP
0,1,away,QUI,ARGJ
3,1,home,RAC,SMSJ
4,0,home,SMSJ,ARS
2,1,home,RAF,ALLB
2,1,home,SL,COL
1,1,home,ARGJ,CABJ
1,0,home,BEL,RAC
1,1,away,IND,QUI
3,3,away,CARP,NOB
1,1,away,USF,TIG
2,0,home,LAN,GCM
2,2,home,TIG,COL
0,1,away,ALLB,ARGJ
1,0,home,GCM,SMSJ
0,1,away,RAC,EST
1,0,home,NOB,SL
0,2,away,ARS,BEL
2,0,home,VEL,CARP
1,0,home,BEL,GCM
3,0,home,RAF,TIG
3,3,home,ARGJ,USF
1,2,away,SL,VEL
1,1,away,IND,ALLB
0,1,away,CARP,RAC
1,2,away,COL,NOB
4,0,home,SMSJ,QUI
2,0,home,LAN,CABJ
1,1,home,QUI,BEL
2,1,away,ALLB,LAN
1,0,home,GCM,EST
5,3,home,RAF,ARGJ
0,4,away,ARS,CARP
1,2,away,USF,IND
2,4,away,VEL,COL
1,1,away,CABJ,SMSJ
2,0,home,LAN,USF
2,1,away,SMSJ,ALLB
2,1,home,EST,QUI
0,1,away,COL,RAC
3,1,away,BEL,CABJ
2,0,home,IND,RAF
1,0,away,NOB,VEL
5,0,home,CARP,GCM
2,0,home,ARS,COL
0,1,away,ARGJ,IND
1,0,home,ALLB,BEL
0,1,away,TIG,VEL
1,0,home,QUI,CARP
1,2,away,RAF,LAN
2,2,away,SL,QUI
0,1,away,EST,ALLB
2,1,home,NOB,ARS
1,0,home,VEL,RAC
2,2,home,CARP,CABJ
1,0,home,BEL,USF
1,0,home,LAN,ARGJ
1,1,away,COL,GCM
1,3,away,RAF,BEL
1,1,home,ARGJ,SMSJ
2,2,away,USF,EST
3,1,home,CABJ,SL
1,5,away,ARS,VEL
1,1,away,GCM,NOB
1,1,away,TIG,RAC
0,2,away,IND,LAN
2,1,away,VEL,GCM
4,0,home,SL,ALLB
2,0,home,CARP,USF
3,1,away,EST,RAF
2,1,home,ARGJ,EST
2,2,away,USF,SL
0,1,away,QUI,VEL
1,1,away,ALLB,COL
0,1,away,GCM,RAC
2,1,home,LAN,SMSJ
0,1,away,TIG,ARS
1,0,home,SL,RAF
2,0,home,EST,IND
3,0,home,ARS,GCM
2,0,home,COL,USF
2,2,home,SMSJ,TIG
1,2,away,NOB,ALLB
0,1,away,VEL,CABJ
0,2,away,BEL,LAN
4,0,home,RAC,QUI
2,2,home,IND,CARP
2,2,home,USF,NOB
1,1,away,SMSJ,BEL
1,2,away,ARGJ,SL
0,2,away,ALLB,VEL
2,0,home,TIG,GCM
3,1,home,CABJ,RAC
1,2,away,QUI,ARS
2,0,home,RAF,COL
1,2,home,IND,BEL
3,1,home,COL,ARGJ
3,1,home,RAC,ALLB
1,0,home,BEL,TIG
1,0,home,CARP,LAN
2,0,home,VEL,USF
2,1,away,SL,IND
1,0,home,ARS,CABJ
3,0,home,NOB,RAF
2,0,home,EST,SMSJ
1,3,away,ARGJ,NOB
2,1,away,CABJ,GCM
0,3,away,RAF,VEL
1,0,home,BEL,EST
