home_score,away_score,first_goal,home_team,away_team
1,1,away,IND,TIG
1,1,home,USF,ARS
0,1,away,ARGJ,VEL
1,1,away,ALLB,GCM
1,3,home,EST,TIG
3,2,away,CABJ,QUI
3,0,home,RAF,RAC
1,3,away,IND,NOB
1,2,away,BEL,CARP
4,0,home,LAN,COL
2,0,home,RAC,ARGJ
2,1,away,GCM,USF
1,1,away,COL,SMSJ
0,1,away,VEL,IND
2,1,home,QUI,ALLB
1,0,home,CARP,EST
1,2,away,ARGJ,ARS
1,1,home,EST,SL
0,3,away,USF,QUI
1,0,home,LAN,VEL
1,2,away,RAF,GCM
2,0,home,IND,RAC
2,1,home,BEL,COL
3,2,away,CARP,TIG
1,1,home,SMSJ,NOB
2,0,home,NOB,BEL
3,3,away,COL,EST
1,0,home,ARS,IND
2,0,home,SL,CARP
2,1,home,TIG,ALLB
1,3,away,CABJ,USF
3,0,home,VEL,SMSJ
1,0,home,BEL,VEL
0,1,away,IND,GCM
1,1,away,USF,ALLB
0,3,away,SMSJ,RAC
0,1,away,SL,TIG
2,1,home,CARP,COL
1,1,home,RAF,CABJ
2,1,home,LAN,ARS
1,3,away,ARGJ,QUI
1,2,away,TIG,USF
0,1,away,GCM,LAN
1,0,home,NOB,CARP
1,1,home,RAC,BEL
1,1,home,VEL,EST
1,1,home,CABJ,ARGJ
3,2,home,ARS,SMSJ
2,1,home,ALLB,RAF
3,2,home,COL,TIG
1,1,home,BEL,ARS
1,0,home,ARGJ,ALLB
0,1,away,EST,RAC
1,1,away,IND,CABJ
1,0,home,RAF,USF
0,1,away,SL,NOB
2,2,away,LAN,QUI
2,0,home,ALLB,IND
1,3,away,TIG,RAF
1,1,home,VEL,SL
0,2,away,RAC,CARP
1,2,away,NOB,COL
1,0,home,ARS,EST
1,1,home,IND,USF
6,1,home,SMSJ,CABJ
1,4,home,SL,RAC
2,1,home,LAN,ALLB
2,1,away,COL,VEL
3,1,home,NOB,TIG
1,1,away,CARP,ARS
3,0,home,BEL,QUI
1,3,away,VEL,NOB
1,1,home,RAC,COL
1,1,home,ALLB,SMSJ
1,0,home,QUI,EST
2,0,home,RAF,IND
1,3,away,ARS,SL
1,2,away,GCM,CARP
1,0,home,TIG,ARGJ
1,0,home,EST,CABJ
1,1,away,SL,GCM
1,0,home,COL,ARS
3,1,away,SMSJ,USF
3,1,home,IND,ARGJ
1,1,home,CARP,QUI
0,1,away,BEL,ALLB
1,1,home,LAN,RAF
3,0,home,GCM,COL
1,2,home,QUI,SL
1,1,away,USF,BEL
1,2,away,ARGJ,LAN
0,2,away,TIG,IND
1,1,home,CABJ,CARP
2,1,away,RAF,SMSJ
2,0,home,ARS,NOB
1,2,away,VEL,TIG
3,0,home,SL,CABJ
3,1,away,NOB,GCM
2,2,home,VEL,ARS
2,0,home,RAC,TIG
2,1,home,SMSJ,ARGJ
0,3,away,COL,QUI
2,0,home,CARP,ALLB
1,0,home,EST,USF
1,0,home,ARS,RAC
0,2,away,RAF,EST
3,1,home,GCM,VEL
1,1,away,QUI,NOB
1,0,home,CABJ,COL
3,1,home,IND,SMSJ
2,2,home,USF,CARP
0,3,away,ALLB,SL
1,3,away,ARGJ,BEL
2,0,home,COL,ALLB
2,0,home,VEL,QUI
1,1,home,RAC,GCM
3,1,home,SMSJ,LAN
4,0,home,NOB,CABJ
3,2,home,ARS,TIG
4,2,home,SL,USF
1,0,home,QUI,RAC
1,0,home,USF,COL
1,1,away,CABJ,VEL
2,0,home,ARGJ,CARP
1,3,away,TIG,SMSJ
2,1,home,ALLB,NOB
0,2,away,BEL,SMSJ
1,2,home,ARS,QUI
0,1,away,GCM,TIG
2,1,home,CARP,IND
2,2,away,COL,RAF
5,0,home,NOB,USF
1,1,away,SL,ARGJ
1,0,home,ARGJ,COL
2,0,home,SMSJ,EST
0,1,away,IND,SL
1,1,home,USF,VEL
0,1,away,ALLB,RAC
1,0,home,CABJ,ARS
5,1,home,LAN,CARP
2,0,home,EST,LAN
3,0,home,RAC,USF
1,1,away,EST,BEL
2,3,home,TIG,QUI
0,1,away,NOB,ARGJ
3,1,home,CARP,SMSJ
2,1,home,VEL,RAF
4,0,home,ARS,ALLB
2,2,away,SL,LAN
1,1,away,GCM,CABJ
3,1,home,GCM,ARGJ
1,1,away,ARS,EST
1,1,home,ALLB,RAF
1,2,away,TIG,VEL
1,1,away,COL,RAC
2,1,home,SL,OBB
3,0,home,LAN,BEL
1,0,home,GLP,CARP
2,0,home,ROS,QUI
2,0,home,ARGJ,COL
1,2,home,BEL,CABJ
1,0,home,EST,ALLB
