home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
IND,TIG,1,1,0,0,11,8,6,2,0,0,2,5,0,0
USF,ARS,1,1,0,0,11,14,3,5,0,0,4,4,0,1
ARGJ,VEL,0,1,0,0,8,8,5,4,0,0,3,1,0,0
ALLB,GCM,1,1,0,0,7,7,2,4,0,0,4,2,0,0
EST,TIG,1,3,1,1,10,14,4,6,0,0,4,2,0,0
CABJ,QUI,3,2,1,1,10,7,5,3,0,0,2,1,1,0
SMSJ,SL,0,0,0,0,8,10,2,2,0,0,5,1,0,0
RAF,RAC,3,0,2,0,8,2,6,0,0,0,2,2,0,0
IND,NOB,1,3,0,0,10,16,3,10,0,0,4,2,0,0
BEL,CARP,1,2,0,0,4,10,1,3,0,0,5,2,0,1
LAN,COL,4,0,0,0,10,6,6,4,0,0,1,2,0,0
QUI,TIG,0,0,0,0,11,4,2,1,0,0,3,2,0,0
RAC,ARGJ,2,0,0,0,10,6,4,0,0,0,0,2,0,0
GCM,USF,2,1,0,0,12,14,6,8,0,0,2,3,1,1
SL,BEL,0,0,0,0,7,8,3,3,0,0,3,2,0,0
COL,SMSJ,1,1,1,0,20,9,7,5,0,0,2,5,0,0
VEL,IND,0,1,0,0,12,6,5,2,0,0,2,1,0,1
TIG,CABJ,0,0,0,0,8,3,3,0,0,0,2,3,0,0
QUI,ALLB,2,1,0,0,15,9,8,3,0,0,1,4,0,1
NOB,LAN,0,3,0,1,15,13,4,7,0,0,5,1,0,0
CARP,EST,1,0,0,0,5,8,4,4,0,0,2,4,0,0
ARS,RAF,0,0,0,0,16,8,6,2,0,0,0,1,0,0
ARGJ,ARS,1,2,0,0,14,11,7,4,0,0,2,2,0,0
EST,SL,1,1,0,0,7,8,5,3,0,0,3,3,0,0
USF,QUI,0,3,0,0,5,10,3,5,0,0,3,3,2,0
ALLB,CABJ,2,0,1,0,14,8,10,2,0,0,2,4,0,0
LAN,VEL,1,0,0,0,10,11,4,6,0,0,2,1,0,0
RAF,GCM,1,2,0,1,8,5,4,4,0,0,1,3,0,0
IND,RAC,2,0,0,0,13,5,7,2,0,0,2,5,0,1
BEL,COL,2,1,0,0,9,13,6,6,0,0,5,2,0,0
CARP,TIG,3,2,0,1,17,5,10,3,0,0,5,5,0,1
SMSJ,NOB,1,1,0,0,10,7,6,3,0,0,1,4,0,0
QUI,RAF,3,3,0,0,10,8,6,5,0,0,1,5,0,0
NOB,BEL,2,0,0,0,12,6,6,1,0,0,3,5,0,1
COL,EST,3,3,0,1,8,6,6,5,0,0,3,1,0,0
ARS,IND,1,0,0,0,12,8,5,4,0,0,1,4,0,1
GCM,ARGJ,0,0,0,2,13,5,5,0,0,0,0,4,0,2
SL,CARP,2,0,0,0,7,6,4,1,0,0,5,2,2,1
TIG,ALLB,2,1,0,1,10,11,6,6,0,0,2,5,1,0
RAC,LAN,0,0,0,0,7,10,3,2,0,0,3,3,0,1
CABJ,USF,1,3,0,0,17,7,8,3,0,0,2,3,0,0
VEL,SMSJ,3,0,0,0,15,9,9,3,0,0,3,2,1,1
BEL,VEL,1,0,0,0,6,7,3,4,0,0,0,0,0,0
IND,GCM,0,1,0,0,12,15,5,6,0,0,3,2,0,0
USF,ALLB,1,1,0,0,12,10,5,3,0,0,3,6,0,1
EST,NOB,2,4,1,1,13,10,7,7,0,0,2,4,1,0
SMSJ,RAC,0,3,0,0,13,8,3,5,0,0,1,3,0,0
SL,TIG,0,1,0,1,10,7,3,2,0,0,3,6,0,0
CARP,COL,2,1,0,0,9,10,5,5,0,0,1,2,0,0
RAF,CABJ,1,1,1,0,4,13,3,8,0,0,2,3,0,0
LAN,ARS,2,1,1,1,16,16,8,5,0,0,3,5,0,1
ARGJ,QUI,1,3,0,0,6,10,4,7,0,0,2,3,0,1
TIG,USF,1,2,0,1,7,7,7,5,0,0,1,4,0,0
COL,SL,0,1,0,0,15,7,8,4,0,0,4,2,0,1
QUI,IND,0,0,0,0,9,5,4,3,0,0,1,3,0,0
GCM,LAN,0,1,0,0,10,13,8,5,0,0,4,1,0,0
NOB,CARP,1,0,0,0,8,6,2,5,0,0,2,4,1,0
RAC,BEL,1,1,0,0,13,15,4,7,0,0,2,1,0,0
VEL,EST,1,1,0,0,8,10,4,3,0,0,2,3,1,0
CABJ,ARGJ,1,1,0,1,6,7,3,3,0,0,3,2,0,0
ARS,SMSJ,3,2,0,1,14,10,7,5,0,0,2,3,0,0
ALLB,RAF,2,1,0,1,10,8,6,4,0,0,3,3,1,0
COL,TIG,3,2,0,0,9,11,6,7,0,0,2,5,1,1
BEL,ARS,1,1,0,0,6,8,5,2,0,0,2,4,0,0
ARGJ,ALLB,1,0,0,0,7,5,2,3,0,0,3,3,0,0
CARP,VEL,0,0,0,0,11,6,5,4,0,0,3,3,0,0
EST,RAC,0,1,0,0,15,7,4,5,0,0,2,1,0,0
IND,CABJ,1,1,1,1,20,5,12,4,0,0,2,2,0,1
SMSJ,GCM,2,3,0,0,7,17,3,7,0,0,2,3,0,0
RAF,USF,1,0,0,0,9,10,5,2,0,0,2,4,0,0
SL,NOB,0,1,0,0,10,6,6,1,0,0,3,1,0,0
LAN,QUI,2,2,0,0,18,5,8,3,0,0,3,6,0,1
ALLB,IND,2,0,0,0,9,12,3,3,0,0,2,7,0,1
TIG,RAF,1,3,0,0,18,11,11,5,0,0,3,7,1,0
USF,ARGJ,0,0,0,0,12,13,8,5,0,0,5,3,0,0
VEL,SL,1,1,0,0,14,16,6,6,0,0,3,2,0,0
GCM,BEL,0,0,0,0,7,11,4,4,0,0,1,1,0,0
QUI,SMSJ,0,0,0,0,7,5,3,2,0,0,4,4,0,0
RAC,CARP,0,2,0,0,9,6,2,3,0,0,1,1,0,0
NOB,COL,1,2,0,0,14,8,8,5,0,0,4,3,0,0
CABJ,LAN,0,0,0,0,6,9,3,2,0,0,4,2,0,0
ARS,EST,1,0,0,0,9,7,5,4,0,0,0,1,0,1
IND,USF,1,1,0,0,17,11,4,3,0,0,2,1,0,0
ARGJ,RAF,0,0,0,0,5,5,3,2,0,0,1,2,0,0
SMSJ,CABJ,6,1,0,1,16,10,11,3,0,0,3,3,0,0
SL,RAC,1,4,0,0,15,8,8,6,0,0,2,2,0,0
