home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
TIG,USF,2,1,0,1,23,8,7,1,49,51,3,3,0,0
EST,CARP,2,1,0,0,11,9,5,5,43,57,1,4,0,1
DYJ,ALDO,4,0,0,1,15,8,6,2,58,42,2,4,0,0
TEMP,SARM,0,0,0,0,12,7,2,3,57,43,1,3,0,1
ARGJ,CRU,4,0,1,0,7,9,3,0,50,50,4,2,0,0
QUI,TEMP,0,0,0,0,13,11,4,2,57,43,1,3,1,0
ALDO,SMSJ,2,0,0,0,13,15,3,3,33,67,4,3,0,0
GLP,CABJ,1,2,0,0,5,21,2,11,25,75,4,4,2,1
NOB,COL,0,1,0,0,22,5,7,2,64,36,2,5,0,0
VEL,DYJ,2,1,0,0,13,11,5,6,51,49,4,2,0,1
ARS,TIG,2,0,1,0,12,7,4,0,47,53,5,2,0,0
SL,BAN,0,0,0,0,11,10,3,3,48,52,2,3,1,0
SARM,RAF,0,1,0,0,15,10,5,3,59,41,2,3,0,1
CARP,HUR,1,1,0,0,16,4,6,2,68,32,2,2,0,0
USF,ROS,0,1,0,0,16,11,5,7,45,55,2,5,0,0
IND,EST,1,1,0,1,12,5,4,1,54,46,3,3,0,1
BEL,OBB,0,0,0,0,16,3,2,0,64,36,0,2,0,0
LAN,NCHI,1,0,1,0,17,10,7,2,58,42,0,5,0,0
BAN,ARGJ,1,1,1,0,12,10,3,5,63,37,1,2,0,1
TIG,GCM,2,1,1,0,11,12,5,3,37,63,2,5,0,0
CRU,LAN,1,3,1,0,11,15,5,8,48,52,4,1,0,0
ROS,ARS,1,0,0,0,14,8,7,0,66,34,1,5,0,1
COL,SARM,0,1,0,0,12,10,1,2,56,44,0,1,0,0
HUR,IND,1,1,0,0,8,9,3,2,48,52,1,4,0,0
DYJ,NOB,1,0,0,0,9,10,4,2,43,57,1,2,0,0
TEMP,BEL,2,1,0,0,14,24,7,5,41,59,3,4,1,0
NCHI,CARP,1,4,0,0,14,14,3,9,40,60,0,2,1,0
SMSJ,VEL,3,1,0,0,13,14,9,4,50,50,2,1,0,0
CABJ,SL,0,1,0,0,16,4,3,2,65,35,3,3,0,0
OBB,USF,0,0,0,0,10,13,5,2,54,46,2,2,0,0
RAC,GLP,2,0,0,0,26,10,6,3,61,39,2,4,0,1
RAF,QUI,2,4,0,1,28,14,11,6,55,45,1,2,0,0
EST,ALDO,2,1,0,1,19,9,7,3,66,34,1,3,0,0
DYJ,ARS,1,0,0,0,10,9,5,3,63,37,1,2,0,0
NCHI,ARGJ,1,2,0,0,9,14,3,7,57,43,3,3,0,0
IND,RAC,3,0,0,0,14,8,8,2,58,42,3,4,0,1
SMSJ,GCM,1,2,0,1,14,7,4,2,53,47,1,4,1,1
HUR,SL,1,0,0,0,17,11,5,1,57,43,2,2,0,2
OBB,SARM,1,0,0,0,10,9,4,1,45,55,5,3,0,0
RAF,BEL,1,1,0,0,18,13,10,5,57,43,4,3,0,0
TIG,VEL,3,0,0,0,5,14,3,3,39,61,1,5,0,0
ROS,NOB,0,0,0,0,10,7,3,1,66,34,4,7,0,0
EST,GLP,1,1,0,0,10,7,4,3,65,35,2,4,0,0
COL,USF,0,0,0,0,17,13,9,2,58,42,3,3,1,0
CARP,CABJ,0,1,0,0,6,8,2,3,57,43,3,4,0,0
LAN,BAN,0,1,0,0,10,10,0,7,61,39,4,6,1,0
ALDO,CRU,2,0,0,0,12,14,2,4,45,55,3,3,1,0
TEMP,QUI,0,0,0,0,4,24,1,5,33,67,1,2,1,0
SARM,DYJ,2,1,0,0,18,5,5,2,47,53,0,1,0,0
ALDO,HUR,0,0,0,0,7,14,2,4,40,60,4,3,0,0
ARGJ,CABJ,1,3,0,0,9,11,3,4,42,58,3,3,1,0
GCM,ROS,1,3,0,0,8,13,3,6,57,43,4,1,0,0
IND,NCHI,2,1,0,0,15,12,6,4,65,35,2,2,0,0
GLP,TIG,1,1,0,0,12,10,5,3,68,32,1,3,0,1
NOB,SMSJ,1,0,0,0,11,10,2,3,38,62,1,4,1,0
VEL,EST,0,1,0,0,13,9,5,2,50,50,2,3,0,0
ARS,OBB,2,1,1,1,13,9,4,3,45,55,2,3,0,0
BAN,CRU,2,1,0,0,16,7,4,3,56,44,1,1,0,0
USF,TEMP,2,1,0,0,15,11,4,2,56,44,5,3,0,1
CARP,LAN,1,1,0,0,13,7,4,2,71,29,2,6,0,0
SL,RAC,2,1,0,0,8,21,4,6,50,50,4,3,0,0
