home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
GCM,ARS,2,1,0,1,17,10,7,3,64,35,2,3,0,0
GLP,SL,2,1,0,0,12,9,6,2,50,49,1,3,0,0
CARP,LAN,2,0,0,0,14,14,6,2,49,50,3,3,0,0
QUI,CABJ,0,0,0,0,5,10,2,2,34,65,3,3,0,1
ALLB,GCM,0,0,0,0,13,16,2,1,39,60,2,4,0,0
EST,OBB,0,0,0,0,21,4,2,1,67,32,1,2,0,0
BEL,ARGJ,0,0,0,1,5,16,1,5,38,62,4,3,2,0
VEL,GLP,5,1,1,0,24,16,7,5,71,29,1,3,0,1
NOB,QUI,1,1,0,0,21,12,4,3,73,27,1,3,0,0
RAF,RAC,2,2,0,0,14,20,5,4,46,53,4,1,0,0
LAN,ROS,2,1,0,0,20,10,5,5,55,45,2,2,0,0
ARS,COL,1,0,0,0,24,6,6,2,64,36,1,2,0,0
CABJ,CARP,1,2,0,0,10,10,6,4,50,49,4,4,0,0
TIG,SL,2,2,0,0,12,14,8,5,52,48,2,5,0,0
QUI,BEL,1,0,0,0,9,17,1,1,46,54,2,3,0,1
OBB,VEL,1,2,0,0,17,11,4,3,48,52,3,4,0,1
ARGJ,RAF,0,0,0,0,19,8,3,2,61,39,2,4,0,0
RAC,EST,3,3,0,0,10,25,7,10,41,59,1,0,0,0
GCM,LAN,1,0,1,0,10,14,3,5,43,57,4,4,0,0
COL,ALLB,1,0,0,1,12,8,4,3,52,48,1,2,1,1
ROS,CABJ,2,1,0,0,11,15,4,3,47,53,3,2,0,0
CARP,NOB,1,0,0,0,10,7,5,2,34,66,3,1,0,0
GLP,TIG,3,1,0,0,14,7,6,3,52,48,0,1,0,1
SL,ARS,2,0,1,0,22,12,9,7,52,48,2,2,0,0
LAN,COL,1,0,0,0,16,9,6,0,43,57,2,3,0,0
VEL,RAC,0,1,0,0,15,11,4,3,67,33,1,1,0,0
NOB,ROS,0,1,0,0,17,13,6,5,73,27,0,2,0,0
RAF,QUI,2,2,0,0,13,14,6,5,60,40,1,2,0,0
ALLB,SL,1,2,0,0,7,19,2,5,39,61,2,3,0,0
ARS,TIG,0,1,0,0,12,12,4,2,52,48,2,2,0,0
CABJ,GCM,3,0,1,1,7,9,4,3,44,56,4,2,0,1
BEL,CARP,2,1,0,0,10,12,4,4,30,70,1,2,0,0
EST,ARGJ,1,0,0,0,18,10,7,3,57,43,2,1,0,0
OBB,GLP,0,2,0,0,17,14,5,5,58,42,2,1,0,0
TIG,ALLB,2,0,0,0,8,7,4,2,50,50,1,4,0,0
ROS,BEL,0,0,0,0,17,10,2,3,54,46,1,2,0,0
QUI,EST,1,3,1,0,19,11,7,5,53,47,5,4,0,0
ARGJ,VEL,2,1,0,0,21,13,7,3,39,61,0,1,0,0
RAC,OBB,1,1,0,0,13,10,4,2,56,44,2,2,0,0
SL,LAN,1,4,0,0,10,11,3,8,60,40,4,4,0,0
GLP,ARS,2,0,0,0,17,15,8,2,39,61,2,3,0,0
GCM,NOB,0,1,0,0,16,8,3,2,51,49,3,2,0,0
CARP,RAF,2,0,0,0,19,5,7,1,59,41,2,2,0,1
COL,CABJ,0,0,0,0,11,11,1,2,29,71,5,6,0,0
OBB,ARGJ,3,0,0,0,14,9,8,0,42,58,3,3,0,0
VEL,QUI,1,3,0,1,14,9,7,4,69,31,4,5,1,0
RAF,ROS,2,3,1,1,19,11,7,4,52,48,1,2,2,0
EST,CARP,0,0,1,0,15,5,7,3,41,59,2,1,0,0
NOB,COL,0,1,0,0,24,8,9,3,73,27,2,4,2,1
CABJ,SL,0,0,0,0,10,4,5,1,61,39,4,1,0,2
ALLB,ARS,1,1,0,0,10,14,4,5,54,46,3,4,0,0
BEL,GCM,1,2,0,0,10,11,3,6,39,61,2,2,0,0
RAC,GLP,0,1,0,0,15,8,6,2,53,47,1,1,0,0
ROS,EST,0,0,0,0,5,16,0,3,56,44,2,3,0,0
QUI,OBB,0,1,0,0,11,6,4,4,59,41,5,3,0,0
SL,NOB,0,0,0,0,16,16,7,1,40,60,2,4,0,0
COL,BEL,0,0,0,0,8,6,3,0,46,54,3,3,0,0
ARGJ,RAC,0,1,0,0,18,9,4,3,58,42,0,3,1,1
