season;tackles;drib_past;inter;fouls;shots_block;tackle_acc;aerial_won
2012-13;2.108276939;0.70275898;1.920874545;0.515356585;0.562207184;0.75;50
2013-14;1.609147609;0.785862786;2.282744283;0.224532225;0.486486486;0.671875;53.42465753
2014-15;1.966866408;0.53930208;2.18893197;0.444131124;0.602749383;0.784810127;52.77777778
2015-16;1.68700959;1.098517873;2.393199651;0.353095031;1.137750654;0.605633803;49.23076923
