home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_fouls,away_foulshome_yellow,away_yellow,home_red,away_red
ARS,USF,1,0,1,1,6,3,1,1,0,0,9,13,4,4,0,0
VEL,ARGJ,3,0,0,0,9,6,6,1,0,0,12,10,1,2,0,0
RAC,RAF,1,1,2,2,7,5,3,3,0,0,6,18,3,3,0,0
COL,LAN,1,0,0,0,9,5,6,2,0,0,9,7,2,4,0,0
QUI,CABJ,3,0,0,0,11,7,7,2,0,0,8,8,2,2,0,1
NOB,IND,0,0,0,0,11,1,3,0,0,0,7,7,1,3,0,0
GCM,ALLB,1,1,1,0,15,8,6,2,0,0,9,8,2,4,0,0
SL,SMSJ,2,1,0,0,7,9,3,2,0,0,13,8,2,1,0,0
CARP,BEL,1,2,0,0,13,6,6,5,0,0,5,7,2,3,0,1
TIG,EST,1,2,1,0,10,7,4,3,0,0,21,14,5,5,0,0
SMSJ,COL,0,1,0,0,7,5,4,2,0,0,7,12,2,4,0,0
LAN,NOB,0,1,0,0,5,4,0,2,0,0,4,7,2,2,1,0
EST,CARP,0,2,0,0,5,9,3,4,0,0,11,17,2,3,0,0
ALLB,QUI,1,1,0,0,12,5,6,3,0,0,6,9,3,2,0,0
BEL,SL,0,0,0,0,14,2,6,0,0,0,8,3,1,2,0,1
ARGJ,RAC,0,2,0,0,6,6,0,3,0,0,9,12,5,2,0,0
USF,GCM,0,1,0,0,6,13,4,4,0,0,3,14,1,5,1,0
CABJ,TIG,2,0,0,0,6,8,4,3,0,0,2,4,1,2,0,0
RAF,ARS,0,0,0,0,6,8,2,3,0,0,12,10,4,3,0,0
IND,VEL,0,0,0,0,6,6,3,4,0,0,8,9,2,1,0,1
CABJ,ALLB,3,1,0,0,11,9,9,3,0,0,15,12,2,3,0,0
COL,BEL,2,2,0,1,8,6,4,3,0,0,6,14,4,4,0,1
SL,EST,0,1,0,0,2,7,1,3,0,0,10,15,0,2,0,0
RAC,IND,2,0,0,0,6,1,2,0,0,0,3,7,3,5,0,1
GCM,RAF,2,0,0,0,13,7,8,2,0,0,7,6,1,3,0,0
VEL,LAN,0,2,0,0,9,9,2,6,0,0,7,10,1,2,0,0
TIG,CARP,2,3,0,0,9,11,6,5,0,0,10,11,3,4,0,0
QUI,USF,2,1,0,0,12,6,4,2,0,0,16,14,4,3,0,0
ARS,ARGJ,2,2,0,0,9,8,7,4,0,0,11,19,4,4,0,0
NOB,SMSJ,2,0,0,0,8,11,6,3,0,0,9,13,1,4,2,0
ALLB,TIG,2,2,0,0,14,11,6,6,0,0,20,16,5,1,0,0
USF,CABJ,1,2,0,0,7,13,3,7,0,0,11,7,3,3,2,0
ARGJ,GCM,2,1,0,0,6,12,1,7,0,0,11,12,4,4,0,0
IND,ARS,0,2,0,0,5,7,2,2,0,0,15,10,3,5,1,0
RAF,QUI,1,1,0,0,12,10,5,5,0,0,12,12,1,2,1,1
BEL,NOB,0,0,0,0,3,4,2,3,0,0,11,5,2,2,0,0
LAN,RAC,1,1,1,0,5,2,3,2,0,0,8,10,2,3,0,1
SMSJ,VEL,0,3,0,0,8,7,3,5,0,0,13,14,2,1,0,0
CARP,SL,0,0,0,0,11,3,4,0,0,0,11,9,1,4,0,0
EST,COL,1,2,0,1,7,4,3,3,0,0,15,15,3,3,0,0
ALLB,USF,3,1,0,0,15,10,8,2,0,0,9,18,1,5,0,1
NOB,EST,1,0,0,0,13,5,7,0,0,0,11,11,4,4,2,1
ARS,LAN,1,0,0,0,7,6,3,2,0,0,8,11,4,4,0,1
VEL,BEL,2,1,0,0,13,8,5,3,0,0,5,16,2,8,1,1
TIG,SL,1,1,0,0,7,6,6,4,0,0,13,5,3,3,1,2
CABJ,RAF,2,1,0,0,7,4,3,2,0,0,10,12,2,1,0,0
GCM,IND,2,1,1,0,13,4,7,2,0,0,3,13,2,5,0,0
COL,CARP,1,1,0,0,3,10,1,4,0,0,14,12,4,4,0,0
QUI,ARGJ,0,1,0,0,8,11,3,4,0,0,10,9,2,3,0,0
RAC,SMSJ,3,1,1,1,9,6,8,4,0,0,14,14,3,5,1,0
SMSJ,ARS,4,0,2,0,11,6,7,1,0,0,5,5,2,1,0,2
RAF,ALLB,2,1,0,0,6,13,3,3,0,0,19,11,2,1,0,0
EST,VEL,0,0,0,0,4,3,0,0,0,0,8,12,4,2,0,1
SL,COL,2,1,0,0,9,6,4,3,0,0,9,14,6,4,0,1
ARGJ,CABJ,1,1,0,1,5,8,2,3,0,0,3,12,3,5,1,0
BEL,RAC,1,0,0,0,11,8,5,5,0,0,12,10,5,3,2,0
IND,QUI,1,1,0,0,13,7,3,3,0,0,12,15,3,3,1,0
CARP,NOB,3,3,0,1,12,7,8,4,0,0,4,6,3,2,0,0
USF,TIG,1,1,0,0,14,9,8,2,0,0,5,10,2,5,0,1
LAN,GCM,2,0,0,0,5,8,3,2,0,0,14,7,2,1,0,0
TIG,COL,2,2,0,0,6,11,3,4,0,0,6,2,0,0,0,0
ALLB,ARGJ,0,1,0,0,3,9,1,6,0,0,9,12,5,3,1,0
GCM,SMSJ,1,0,0,0,9,7,2,2,0,0,11,17,2,4,0,0
RAC,EST,0,1,0,0,4,5,0,4,0,0,5,5,3,2,0,0
CABJ,IND,2,1,0,0,10,7,7,2,0,0,8,12,3,2,0,0
NOB,SL,1,0,1,0,16,4,7,0,0,0,6,9,2,5,0,1
ARS,BEL,0,2,0,0,7,9,2,5,0,0,12,12,6,3,1,0
VEL,CARP,2,0,0,0,11,5,6,1,0,0,7,10,1,5,1,1
USF,RAF,0,0,0,0,8,6,5,2,0,0,12,18,1,6,0,0
QUI,LAN,0,0,0,0,7,9,3,6,0,0,18,8,2,2,0,0
BEL,GCM,1,0,1,0,4,6,3,2,0,0,5,4,1,1,0,0
RAF,TIG,3,0,2,1,9,20,7,8,0,0,9,8,2,4,0,0
ARGJ,USF,3,3,1,1,11,14,5,10,0,0,7,11,3,2,0,0
SL,VEL,1,2,0,0,8,12,2,5,0,0,12,12,3,2,0,0
IND,ALLB,1,1,0,0,12,4,4,1,0,0,14,13,2,3,0,0
CARP,RAC,0,1,0,0,11,4,4,2,0,0,13,10,1,1,0,0
COL,NOB,1,2,0,0,12,6,7,4,0,0,8,4,3,1,0,0
SMSJ,QUI,4,0,0,0,8,3,5,2,0,0,4,4,1,1,0,0
LAN,CABJ,2,0,0,0,16,4,7,2,0,0,11,8,3,2,1,0
EST,ARS,2,1,0,0,7,4,1,2,0,0,10,9,7,4,1,0
QUI,BEL,1,1,0,0,15,6,5,3,0,0,4,7,1,3,0,0
ALLB,LAN,2,1,1,0,11,5,4,3,0,0,4,9,2,4,0,1
GCM,EST,1,0,0,0,6,4,4,2,0,0,4,6,0,3,0,0
RAF,ARGJ,5,3,1,0,9,9,8,6,0,0,8,7,1,4,0,1
RAC,SL,4,0,1,0,9,9,6,3,0,0,14,17,2,3,0,2
ARS,CARP,0,4,0,0,4,15,1,10,0,0,7,20,3,4,1,0
TIG,NOB,0,0,0,0,5,11,2,4,0,0,7,6,2,2,0,0
