home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_fouls,away_foulshome_yellow,away_yellow,home_red,away_red
BEL,ALDO,0,1,0,1,14,11,1,6,56,44,17,15,2,4,1,0
ARS,CARP,3,3,0,0,10,15,5,7,32,68,11,5,2,0,0,0
GLP,NCHI,2,1,0,0,14,13,5,4,48,52,16,14,4,5,0,0
NOB,QUI,1,1,0,0,16,6,2,1,72,28,18,19,4,4,0,0
LAN,GLP,2,0,0,0,17,11,5,5,54,46,9,13,1,5,0,0
COL,TIG,0,1,0,0,12,11,6,3,61,39,15,14,4,2,0,0
VEL,BEL,1,2,0,0,16,18,6,4,54,46,15,17,2,4,0,0
IND,ARS,4,0,0,0,14,7,7,3,58,42,17,14,3,2,0,0
HUR,ARGJ,4,0,0,0,13,19,6,3,50,50,9,15,0,2,0,0
SARM,CRU,2,1,1,0,20,7,7,3,64,36,16,18,2,4,0,1
RAF,ROS,1,1,1,0,7,17,4,7,34,66,13,17,2,4,1,0
DYJ,RAC,1,1,0,0,7,22,6,8,64,36,10,10,3,1,0,0
EST,BAN,1,2,0,0,10,26,2,10,49,51,17,15,2,2,0,0
CARP,GCM,1,0,1,0,15,7,8,1,62,38,13,16,1,3,0,1
SMSJ,CABJ,1,1,0,1,21,6,4,2,57,43,17,17,3,4,1,1
NCHI,SL,0,1,0,0,6,13,2,6,41,59,12,10,3,2,0,0
ALDO,USF,3,3,1,0,17,10,5,6,49,51,14,11,4,2,0,0
TEMP,OBB,0,0,0,0,7,9,0,1,55,45,25,15,2,4,1,0
QUI,SARM,0,4,0,0,10,9,3,5,55,45,17,23,4,1,0,0
ROS,COL,1,1,1,0,10,11,4,4,54,46,16,15,2,3,0,0
OBB,RAF,0,0,0,0,13,12,6,4,57,43,9,12,2,2,0,0
BAN,HUR,1,0,0,0,26,6,6,1,50,50,14,11,1,3,0,0
GCM,IND,2,2,1,0,12,11,6,4,37,63,14,15,2,4,0,0
SL,LAN,4,0,1,1,13,10,5,2,43,57,14,14,2,4,1,0
CRU,TEMP,1,0,0,0,15,12,4,2,48,52,15,10,4,2,0,0
BEL,NOB,2,0,1,0,14,8,7,3,31,69,17,14,4,4,1,0
RAC,SMSJ,2,0,0,0,18,15,5,2,39,61,9,8,1,2,0,0
CABJ,EST,3,0,0,0,16,7,4,1,66,34,15,13,1,3,0,2
USF,VEL,1,0,0,0,9,14,2,4,40,60,13,17,3,3,1,0
GLP,CARP,2,3,0,0,11,20,4,9,44,56,12,15,4,3,0,0
ARGJ,NCHI,1,1,0,0,16,7,5,3,57,43,14,16,1,3,0,1
TIG,DYJ,0,0,0,0,18,10,5,5,50,50,8,16,0,1,0,0
SARM,BEL,1,3,1,0,8,17,3,7,59,41,15,14,2,1,0,0
EST,RAC,1,1,0,0,14,15,5,3,57,43,9,9,2,4,0,0
RAF,TEMP,1,1,0,0,16,12,3,5,59,41,16,11,3,5,0,0
DYJ,ROS,3,3,0,0,13,18,5,6,47,53,11,9,2,0,0,0
ALDO,GCM,2,0,0,1,10,6,5,3,57,43,17,17,4,3,0,2
IND,GLP,1,1,0,0,14,10,8,4,69,31,12,21,2,4,0,0
VEL,ARS,2,1,1,0,16,9,7,3,56,44,15,15,4,4,0,2
CARP,SL,1,0,0,0,7,3,2,2,56,44,14,18,2,5,0,0
LAN,ARGJ,0,1,0,0,8,7,6,3,63,37,9,19,0,3,0,0
COL,OBB,1,0,0,0,10,10,2,1,59,41,13,14,2,3,0,0
HUR,CABJ,0,2,0,0,12,8,1,5,35,65,18,8,2,3,0,0
QUI,CRU,3,1,0,0,17,11,7,5,68,32,17,25,4,4,0,1
SMSJ,TIG,3,1,0,0,16,15,7,6,55,45,14,11,1,3,0,0
NCHI,BAN,1,2,0,0,13,16,4,7,47,53,16,13,1,0,0,0
NOB,USF,2,0,0,0,18,8,9,1,62,38,8,19,1,3,0,1
CRU,RAF,1,1,0,0,12,15,4,7,45,55,8,7,0,1,1,0
TEMP,COL,2,1,0,1,22,16,7,4,47,53,17,6,3,2,0,0
GCM,VEL,2,2,1,0,12,16,5,5,49,51,9,16,2,2,0,0
GLP,ALDO,4,1,0,0,15,9,4,2,52,48,12,20,1,3,0,0
ROS,SMSJ,2,1,0,0,11,8,5,1,52,48,16,12,3,4,0,0
RAC,HUR,2,0,0,0,19,3,7,1,61,39,10,10,0,1,0,1
SL,IND,1,0,0,0,6,14,3,2,41,59,15,15,4,1,0,0
BAN,LAN,1,2,0,1,18,14,5,6,60,40,12,17,2,3,2,2
OBB,DYJ,0,0,0,0,2,3,0,1,49,51,5,4,0,0,0,0
USF,SARM,0,1,0,0,19,10,6,6,55,45,16,20,2,4,0,1
CABJ,NCHI,0,0,0,0,22,6,5,3,72,28,10,15,3,3,0,0
ARGJ,CARP,1,2,0,0,8,12,5,5,47,53,18,13,4,2,0,0
ARS,NOB,3,0,0,0,18,15,7,2,27,73,11,12,2,1,0,0
TIG,EST,2,0,0,0,9,11,2,3,42,58,20,13,5,2,0,0
BEL,QUI,2,1,0,0,19,5,8,2,59,41,12,10,1,2,0,0
EST,ROS,1,1,0,0,7,13,4,2,41,59,15,12,0,2,0,0
SARM,ARS,2,0,0,0,10,12,2,5,57,43,17,16,2,5,0,0
HUR,TIG,1,2,0,0,9,16,3,4,47,53,9,15,2,2,1,0
DYJ,TEMP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,ARGJ,0,0,0,0,13,5,6,3,58,42,15,12,0,1,0,1
VEL,GLP,0,1,0,0,9,13,3,4,57,43,18,16,3,1,0,0
BEL,CRU,1,0,0,0,17,4,4,1,68,32,19,9,7,3,0,1
NCHI,RAC,0,0,0,0,16,17,3,4,50,50,11,12,1,2,0,0
ALDO,SL,1,0,0,0,17,16,4,6,41,59,15,18,2,3,0,0
CARP,BAN,4,1,0,0,20,12,9,5,60,40,11,11,1,0,0,0
SMSJ,OBB,2,0,0,0,19,11,5,7,47,53,21,9,3,2,0,1
LAN,CABJ,1,3,0,1,12,25,5,10,36,64,15,13,1,2,0,0
QUI,USF,1,3,1,1,14,14,9,7,47,53,15,18,3,4,2,0
COL,RAF,2,1,0,0,15,12,8,6,40,60,15,12,3,2,0,1
NOB,GCM,2,0,0,0,8,9,3,3,51,49,12,16,3,3,0,0
ARS,ALDO,0,3,0,0,16,14,5,7,56,44,10,13,1,0,0,0
GCM,SARM,1,0,0,1,8,9,3,2,49,51,15,12,3,3,0,0
OBB,EST,0,0,0,0,9,10,2,4,34,66,17,13,4,0,0,0
GLP,NOB,0,0,0,0,7,12,2,5,42,58,17,8,2,3,0,0
SL,VEL,1,0,0,0,16,12,3,6,56,44,11,18,4,6,0,1
ARGJ,ALDO,0,1,0,0,15,8,2,6,67,33,14,20,4,3,0,0
RAC,LAN,2,0,0,0,14,12,2,2,41,59,15,8,1,3,0,1
ROS,HUR,1,1,0,1,16,8,5,4,65,35,14,16,2,5,0,1
RAF,DYJ,2,1,0,0,14,10,5,2,46,54,14,8,1,0,0,0
BAN,IND,1,1,0,0,15,22,4,7,56,44,12,10,1,4,0,0
TIG,NCHI,2,0,1,0,16,14,5,4,42,58,16,11,1,4,0,0
CABJ,CARP,2,0,0,0,13,9,4,2,52,48,16,20,2,2,0,0
USF,BEL,1,1,0,0,19,11,5,5,58,42,8,12,0,1,0,1
ARS,QUI,0,1,0,1,9,10,3,5,46,54,19,17,4,2,1,0
CRU,COL,0,0,0,0,15,16,2,3,58,42,10,21,1,2,0,0
TEMP,SMSJ,0,1,0,0,12,10,3,2,49,51,11,13,1,3,0,0
NCHI,ROS,0,2,0,0,12,16,3,7,52,48,11,14,1,1,0,0
LAN,TIG,1,1,0,0,8,23,5,7,50,50,18,18,1,3,1,0
EST,TEMP,2,1,0,0,14,10,5,4,61,39,13,8,3,3,0,0
QUI,GCM,0,0,0,0,7,18,1,6,51,49,12,13,4,4,1,0
HUR,OBB,1,3,1,0,12,13,4,6,50,50,15,15,3,5,0,0
USF,CRU,5,2,1,0,24,15,10,5,51,49,8,14,2,3,1,2
NOB,SL,1,1,0,0,12,10,4,7,64,36,8,14,0,1,1,0
VEL,ARGJ,0,1,0,1,10,8,1,1,57,43,25,20,3,3,2,1
ALDO,BAN,0,3,0,0,8,12,4,4,47,53,22,20,6,2,0,0
BEL,ARS,2,0,0,0,15,9,4,2,51,49,20,11,4,4,0,1
CARP,RAC,0,0,0,0,15,8,3,2,66,34,12,10,2,1,0,0
SMSJ,RAF,1,1,0,0,8,14,5,3,51,49,12,21,1,2,0,0
IND,CABJ,1,1,0,0,19,11,11,5,47,53,13,7,1,2,1,0
SARM,GLP,0,0,0,0,14,8,4,4,59,41,13,17,2,3,0,1
DYJ,COL,2,3,0,0,15,15,5,5,52,48,13,14,1,5,2,0
GLP,QUI,3,2,0,1,20,8,3,3,55,45,18,12,3,3,1,1
CRU,DYJ,3,1,0,0,19,10,6,2,49,51,7,15,1,3,0,1
TEMP,HUR,0,0,0,0,23,11,9,2,49,51,5,12,1,5,0,0
ARS,USF,1,1,0,0,12,12,4,5,45,55,10,18,2,0,0,1
ROS,LAN,1,1,1,0,19,14,3,6,61,39,11,12,3,3,0,0
COL,SMSJ,2,2,0,0,12,15,4,5,41,59,15,10,1,2,0,0
OBB,NCHI,0,0,0,0,14,4,8,3,55,45,12,10,0,2,0,0
SL,SARM,3,0,0,0,10,15,7,4,50,50,13,13,2,2,0,0
RAF,EST,1,2,0,0,8,9,3,6,42,58,13,14,2,5,0,0
RAC,IND,1,0,1,0,17,18,7,4,42,58,10,15,3,2,0,1
ARGJ,NOB,2,1,0,0,15,12,7,4,51,49,17,16,1,2,0,1
CABJ,ALDO,0,3,0,0,23,8,9,5,69,31,14,21,3,4,1,0
GCM,BEL,1,0,0,0,12,6,1,0,51,49,9,15,3,5,0,1
QUI,SL,1,2,1,0,10,11,2,3,39,61,16,11,5,2,0,0
NCHI,TEMP,0,2,0,0,13,18,1,7,46,54,11,18,0,5,1,0
SARM,ARGJ,0,0,0,0,8,10,4,2,49,51,17,17,5,3,0,0
BEL,GLP,0,1,0,0,19,9,8,5,58,42,15,16,4,3,0,0
IND,TIG,1,0,0,0,7,13,3,5,49,51,21,17,1,2,1,0
NOB,BAN,1,1,0,0,8,14,4,2,41,59,14,17,3,3,1,0
USF,GCM,1,0,0,0,17,12,7,5,59,41,10,17,4,2,1,1
ALDO,RAC,1,2,0,0,17,10,3,5,50,50,18,18,4,3,0,0
SMSJ,DYJ,2,2,0,0,12,11,3,5,65,35,10,19,2,5,0,0
CARP,ROS,2,0,0,0,10,15,6,5,49,51,20,20,3,1,0,0
EST,COL,0,0,0,0,15,4,1,0,69,31,21,15,3,2,0,0
VEL,CABJ,2,0,0,0,13,11,7,4,41,59,17,19,4,4,0,1
ARS,CRU,1,0,1,0,9,10,2,4,48,52,17,12,2,0,0,1
HUR,RAF,3,2,1,0,7,10,4,3,40,60,16,15,3,2,1,0
LAN,OBB,2,0,0,0,7,6,3,2,54,46,14,14,2,1,0,0
GLP,USF,5,2,0,0,14,8,8,5,58,42,10,13,1,4,0,1
BAN,SARM,0,0,0,0,15,9,7,2,61,39,19,15,4,3,0,0
ARGJ,QUI,0,2,0,0,12,11,1,5,65,35,21,12,5,3,1,0
COL,HUR,1,1,0,0,14,9,5,4,47,53,19,15,5,2,1,1
TEMP,LAN,1,1,0,0,15,14,8,4,40,60,17,11,2,3,0,0
SL,BEL,0,0,0,1,14,12,6,4,51,49,7,18,2,5,0,0
CRU,SMSJ,3,1,0,0,7,10,4,5,39,61,15,14,1,2,0,0
ROS,IND,1,1,0,0,27,10,8,2,65,35,15,17,2,4,0,0
RAF,NCHI,2,0,1,0,18,11,8,4,54,46,11,14,2,3,0,0
RAC,VEL,3,1,2,0,9,6,7,2,52,48,10,13,0,2,0,2
CABJ,NOB,4,0,1,0,13,7,6,2,56,44,17,15,1,2,0,0
GCM,ARS,0,0,0,0,11,5,1,0,63,37,13,14,3,3,1,0
OBB,CARP,1,1,0,0,6,14,3,5,30,70,11,14,4,2,0,0
TIG,ALDO,2,1,1,0,17,7,5,2,68,32,17,21,3,3,0,2
DYJ,EST,0,1,0,0,18,11,8,3,45,55,12,10,1,1,0,0
TIG,CARP,0,0,0,0,16,16,3,2,36,64,16,11,0,0,0,0
ARS,GLP,0,1,0,0,13,7,3,4,45,55,18,16,2,2,0,0
EST,SMSJ,0,0,0,0,16,6,0,2,64,36,13,18,1,3,0,0
BEL,ARGJ,2,1,0,0,18,4,6,1,50,50,12,16,2,2,0,0
CARP,TEMP,1,1,0,0,9,10,4,3,71,29,15,9,0,2,0,0
QUI,BAN,0,1,0,0,16,11,5,3,53,47,22,17,2,3,0,0
USF,SL,1,1,0,0,20,9,7,3,50,50,19,16,3,2,0,0
HUR,DYJ,0,0,0,0,9,16,2,6,50,50,8,14,2,2,0,0
LAN,RAF,3,0,1,0,12,4,6,1,61,39,9,16,0,1,0,0
NCHI,COL,0,0,0,0,7,12,0,3,37,63,19,14,3,2,0,1
IND,OBB,3,1,0,0,15,6,8,2,62,38,10,12,1,2,0,0
NOB,RAC,3,0,0,0,19,7,12,2,53,47,19,7,2,1,0,0
GCM,CRU,3,0,0,0,16,7,5,5,56,44,20,11,2,3,0,0
SARM,CABJ,0,1,0,0,11,14,2,4,44,56,16,13,3,3,0,0
ALDO,ROS,1,3,1,1,13,12,3,5,49,51,11,16,4,4,0,0
VEL,TIG,2,2,1,0,13,9,4,3,69,31,15,11,2,3,0,1
SL,ARS,3,0,0,0,13,5,7,2,61,39,12,14,1,1,0,0
BAN,BEL,1,2,1,1,15,16,6,8,48,52,19,13,2,3,0,0
OBB,ALDO,3,1,0,0,13,14,6,4,50,50,24,10,5,1,0,0
CABJ,QUI,2,1,0,0,15,4,6,2,63,37,17,16,2,6,0,0
DYJ,NCHI,2,1,0,0,16,9,10,2,56,44,18,18,3,1,0,0
RAF,CARP,1,5,0,0,16,10,7,5,45,55,17,14,3,2,0,0
RAC,SARM,2,1,0,0,11,11,4,4,50,50,7,22,1,3,0,0
COL,LAN,1,2,0,0,14,12,6,6,52,48,15,19,2,4,0,0
SMSJ,HUR,3,2,0,0,13,12,5,4,62,38,19,9,1,1,0,0
TIG,NOB,0,0,0,0,7,9,1,4,35,65,12,16,0,3,0,1
ROS,VEL,0,0,0,0,11,4,5,0,64,36,14,30,2,4,0,1
TEMP,IND,0,1,0,0,3,13,0,4,51,49,10,13,1,1,0,0
GLP,GCM,2,0,0,0,12,14,6,6,43,57,20,20,3,2,0,1
CRU,EST,1,2,0,0,10,19,3,5,39,61,14,15,3,2,0,0
ARGJ,USF,1,2,0,0,12,14,3,6,63,37,24,16,1,2,1,1
ALDO,TEMP,0,0,0,0,9,10,2,3,51,49,13,12,2,2,0,0
GLP,CRU,2,1,0,0,26,11,9,3,55,45,10,16,2,5,0,0
SARM,TIG,0,1,0,0,10,6,1,2,61,39,13,19,1,3,0,0
CARP,COL,3,1,0,0,21,11,11,3,62,38,16,17,0,3,0,0
USF,BAN,0,0,0,0,13,14,4,2,45,55,10,9,2,2,0,0
IND,RAF,2,0,0,0,9,11,7,2,53,47,16,10,2,3,0,0
VEL,OBB,0,2,0,0,8,11,3,6,64,36,13,12,0,3,0,0
GCM,SL,1,1,1,0,15,9,3,4,63,37,13,17,1,3,0,2
NOB,ROS,0,1,0,0,9,21,1,6,61,39,23,17,3,2,0,0
QUI,RAC,2,1,1,0,15,10,5,4,51,49,20,20,3,4,0,0
HUR,EST,1,0,0,0,10,11,5,2,34,66,9,19,4,4,0,1
LAN,DYJ,0,1,0,0,13,13,4,4,60,40,11,21,2,4,0,0
BEL,CABJ,0,1,0,0,17,5,2,2,46,54,20,17,3,3,0,2
NCHI,SMSJ,0,0,1,0,14,10,8,2,51,49,12,14,2,1,0,1
ARS,ARGJ,3,2,1,0,10,15,6,4,37,63,10,23,1,1,0,0
RAF,ALDO,2,1,0,0,20,9,7,5,55,45,20,16,3,4,2,0
TEMP,VEL,2,1,1,0,15,12,4,3,51,49,19,27,1,6,0,0
ARGJ,GCM,0,0,0,0,8,14,1,3,46,54,16,13,1,1,0,0
EST,NCHI,1,0,1,0,23,3,8,2,69,31,11,23,2,6,0,1
SL,GLP,1,0,0,0,12,9,4,5,50,50,14,11,5,2,0,1
COL,IND,0,1,0,0,14,18,3,9,46,54,13,11,3,2,0,0
ROS,SARM,1,1,0,0,10,7,2,3,64,36,16,26,3,4,0,0
OBB,NOB,2,0,0,0,11,10,3,1,29,71,15,8,2,1,0,0
RAC,BEL,0,0,0,1,12,15,3,6,57,43,21,19,5,2,0,1
CRU,HUR,3,3,0,0,14,18,6,11,44,56,12,5,1,2,0,0
CABJ,USF,3,4,0,1,19,12,6,5,69,31,14,23,4,6,1,0
TIG,QUI,0,1,0,1,20,5,2,4,55,45,15,16,3,2,0,0
BAN,ARS,4,1,0,0,15,12,6,3,65,35,19,14,2,3,0,0
SMSJ,LAN,1,1,0,0,16,9,3,3,59,41,13,11,3,3,0,0
SARM,OBB,0,0,0,0,14,9,2,3,61,39,12,11,1,2,0,0
BEL,TIG,1,0,0,0,18,14,4,4,50,50,14,10,0,3,0,0
IND,DYJ,1,0,0,0,6,20,1,5,48,52,22,14,3,4,0,0
NCHI,HUR,3,0,0,0,8,15,3,6,44,56,22,9,3,1,0,0
GCM,BAN,1,2,0,0,15,6,6,3,60,40,23,16,3,5,0,0
ALDO,COL,1,1,0,0,16,15,3,5,50,50,16,20,3,2,0,0
USF,RAC,1,2,0,0,24,10,10,5,54,46,17,15,4,0,1,0
LAN,EST,0,0,0,0,14,12,5,3,50,50,13,20,4,3,0,1
GLP,ARGJ,4,2,1,0,23,5,10,4,56,44,10,15,3,4,0,0
SL,CRU,2,1,0,0,23,14,8,3,59,41,7,10,3,2,0,0
VEL,RAF,2,2,0,0,5,5,4,4,42,58,25,18,3,4,0,0
NOB,TEMP,0,0,1,0,20,3,3,0,75,25,13,14,1,4,0,0
ARS,CABJ,1,2,0,0,10,12,4,7,36,64,22,15,5,3,0,0
CARP,SMSJ,0,1,0,0,22,7,5,2,64,36,10,10,0,4,0,1
QUI,ROS,3,1,0,0,17,13,6,2,61,39,9,21,3,4,0,0
RAF,NOB,1,1,1,2,10,10,4,5,43,57,12,12,7,2,0,0
BAN,GLP,1,0,0,0,13,17,5,8,55,45,14,15,2,3,0,0
OBB,QUI,0,1,0,0,13,6,3,2,49,51,17,14,3,3,1,0
RAC,ARS,2,1,1,0,9,15,4,6,64,36,5,16,1,4,0,0
COL,VEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMSJ,IND,1,1,1,0,13,7,4,3,46,54,18,14,2,3,0,0
ARGJ,SL,2,3,0,1,13,8,5,4,55,45,16,12,4,1,0,0
CRU,NCHI,0,1,0,0,16,6,6,2,49,51,8,15,1,5,0,0
HUR,LAN,0,0,0,0,13,12,6,2,48,52,19,14,3,2,0,1
ROS,BEL,3,1,1,0,19,8,7,2,56,44,21,19,3,2,0,0
TIG,USF,2,1,0,1,23,8,7,1,49,51,15,23,3,3,0,0
CABJ,GCM,2,0,1,0,14,10,5,4,53,47,10,21,1,5,0,0
EST,CARP,2,1,0,0,11,9,5,5,43,57,16,17,1,4,0,1
DYJ,ALDO,4,0,0,1,15,8,6,2,58,42,20,20,2,4,0,0
TEMP,SARM,0,0,0,0,12,7,2,3,57,43,15,11,1,3,0,1
ARGJ,CRU,4,0,1,0,7,9,3,0,50,50,15,13,4,2,0,0
QUI,TEMP,0,0,0,0,13,11,4,2,57,43,12,16,1,3,1,0
ALDO,SMSJ,2,0,0,0,13,15,3,3,33,67,17,15,4,3,0,0
GLP,CABJ,1,2,0,0,5,21,2,11,25,75,16,16,4,4,2,1
NOB,COL,0,1,0,0,22,5,7,2,64,36,14,12,2,5,0,0
VEL,DYJ,2,1,0,0,13,11,5,6,51,49,18,22,4,2,0,1
ARS,TIG,2,0,1,0,12,7,4,0,47,53,15,14,5,2,0,0
SL,BAN,0,0,0,0,11,10,3,3,48,52,17,18,2,3,1,0
SARM,RAF,0,1,0,0,15,10,5,3,59,41,14,10,2,3,0,1
CARP,HUR,1,1,0,0,16,4,6,2,68,32,13,8,2,2,0,0
USF,ROS,0,1,0,0,16,11,5,7,45,55,13,16,2,5,0,0
IND,EST,1,1,0,1,12,5,4,1,54,46,13,10,3,3,0,1
BEL,OBB,0,0,0,0,16,3,2,0,64,36,11,15,0,2,0,0
LAN,NCHI,1,0,1,0,17,10,7,2,58,42,6,27,0,5,0,0
BAN,ARGJ,1,1,1,0,12,10,3,5,63,37,8,24,1,2,0,1
TIG,GCM,2,1,1,0,11,12,5,3,37,63,12,21,2,5,0,0
CRU,LAN,1,3,1,0,11,15,5,8,48,52,16,9,4,1,0,0
ROS,ARS,1,0,0,0,14,8,7,0,66,34,7,19,1,5,0,1
COL,SARM,0,1,0,0,12,10,1,2,56,44,10,16,0,1,0,0
HUR,IND,1,1,0,0,8,9,3,2,48,52,18,22,1,4,0,0
DYJ,NOB,1,0,0,0,9,10,4,2,43,57,11,8,1,2,0,0
TEMP,BEL,2,1,0,0,14,24,7,5,41,59,15,12,3,4,1,0
NCHI,CARP,1,4,0,0,14,14,3,9,40,60,18,17,0,2,1,0
SMSJ,VEL,3,1,0,0,13,14,9,4,50,50,11,16,2,1,0,0
CABJ,SL,0,1,0,0,16,4,3,2,65,35,10,14,3,3,0,0
OBB,USF,0,0,0,0,10,13,5,2,54,46,13,12,2,2,0,0
RAC,GLP,2,0,0,0,26,10,6,3,61,39,11,17,2,4,0,1
RAF,QUI,2,4,0,1,28,14,11,6,55,45,15,15,1,2,0,0
EST,ALDO,2,1,0,1,19,9,7,3,66,34,15,22,1,3,0,0
DYJ,ARS,1,0,0,0,10,9,5,3,63,37,11,14,1,2,0,0
NCHI,ARGJ,1,2,0,0,9,14,3,7,57,43,18,12,3,3,0,0
IND,RAC,3,0,0,0,14,8,8,2,58,42,12,15,3,4,0,1
SMSJ,GCM,1,2,0,1,14,7,4,2,53,47,17,23,1,4,1,1
HUR,SL,1,0,0,0,17,11,5,1,57,43,10,20,2,2,0,2
OBB,SARM,1,0,0,0,10,9,4,1,45,55,7,9,5,3,0,0
RAF,BEL,1,1,0,0,18,13,10,5,57,43,18,13,4,3,0,0
