home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_fouls,away_foulshome_yellow,away_yellow,home_red,away_red
VEL,ALDO,2,0,0,0,15,19,4,5,48,52,15,21,2,6,1,0
RAC,ROS,0,1,0,0,11,11,3,4,64,36,17,23,5,4,0,0
GLP,DYJ,0,1,0,0,16,8,4,3,49,51,12,12,2,3,0,0
SL,COL,2,0,0,0,15,8,8,0,63,37,8,7,0,1,0,0
GCM,SMSJ,1,1,1,0,10,8,4,1,39,61,18,11,4,1,0,0
NOB,IND,2,3,1,1,13,10,6,4,63,37,14,16,1,4,1,0
BAN,TEMP,0,1,0,0,22,6,7,4,73,27,17,16,3,4,0,2
CRU,TIG,0,0,0,0,19,9,2,2,52,48,11,14,2,2,0,0
QUI,LAN,0,1,0,0,7,13,1,2,47,53,16,21,2,3,0,0
USF,HUR,1,0,0,0,16,2,5,0,58,42,12,8,1,1,0,0
CABJ,OBB,3,1,1,0,12,7,6,2,73,27,6,18,0,4,0,0
ARGJ,RAF,2,0,0,0,8,6,5,2,48,52,19,6,1,1,0,0
ARS,EST,0,1,0,0,9,12,5,4,53,47,15,10,2,3,0,0
BEL,NCHI,3,1,0,1,13,14,4,3,43,57,8,18,3,1,1,1
RAF,BAN,1,4,1,0,20,12,10,8,53,47,13,13,3,2,0,0
HUR,ARS,1,0,0,0,7,10,2,3,43,57,8,7,1,3,0,0
EST,GCM,2,1,1,0,14,10,6,2,56,44,8,16,2,6,0,0
ROS,TIG,2,1,0,0,17,6,4,0,63,37,12,11,1,1,0,2
OBB,RAC,0,0,0,0,6,18,2,6,38,62,13,13,2,2,1,0
VEL,CRU,2,1,0,0,21,8,4,5,66,34,4,14,0,0,0,0
SMSJ,GLP,1,1,1,0,21,6,4,2,64,36,16,13,2,2,1,1
LAN,BEL,0,0,0,0,13,11,3,3,64,36,9,16,3,2,0,1
DYJ,SL,1,2,0,0,12,10,3,4,51,49,11,5,1,2,0,0
ARS,NCHI,1,1,0,0,16,9,3,2,55,45,10,13,0,0,0,1
GCM,HUR,2,1,0,0,21,11,5,4,56,44,8,11,2,1,0,1
TIG,OBB,1,0,0,0,7,6,3,1,37,63,16,19,4,4,0,0
CRU,ROS,0,1,0,0,7,15,3,6,50,50,14,14,2,1,0,0
USF,LAN,1,1,0,0,17,9,4,2,45,55,12,10,4,6,0,1
QUI,IND,1,2,0,0,10,16,1,7,41,59,14,11,3,4,1,0
SL,SMSJ,1,2,0,0,23,11,7,8,58,42,15,19,2,3,0,0
GLP,EST,1,3,0,1,19,11,7,5,60,40,26,19,7,4,1,1
CABJ,RAF,1,0,0,0,14,6,6,4,70,30,15,11,2,2,0,1
ARGJ,DYJ,1,0,0,0,15,5,5,1,53,47,15,11,1,2,0,0
RAC,TEMP,2,1,0,0,9,19,3,4,61,39,10,14,1,3,1,0
BEL,CARP,1,2,0,0,12,16,4,4,40,60,15,13,3,3,0,0
SARM,ALDO,2,2,0,1,9,15,4,6,50,50,16,14,4,3,0,0
BAN,COL,0,0,0,0,16,12,3,2,65,35,12,15,3,4,0,0
NOB,VEL,0,0,0,0,5,8,1,2,54,46,13,25,3,4,0,0
HUR,GLP,1,1,0,0,15,15,5,5,53,47,14,17,1,2,1,1
RAF,RAC,1,1,0,0,18,12,5,2,52,48,11,15,2,2,0,0
NCHI,GCM,0,2,0,0,8,13,2,6,54,46,11,12,3,1,1,0
OBB,ROS,1,3,0,0,12,20,6,12,47,53,14,13,2,3,1,0
ALDO,QUI,1,1,0,0,12,3,2,2,69,31,18,17,4,5,0,1
IND,BEL,1,2,0,1,16,13,3,4,62,38,12,19,2,3,0,0
NOB,CRU,2,0,1,0,19,10,8,1,64,36,11,13,2,3,0,0
DYJ,BAN,1,0,0,0,14,14,4,4,39,61,17,14,3,3,0,0
LAN,ARS,0,0,0,0,13,14,2,5,61,39,17,11,1,2,0,0
VEL,SARM,1,1,0,0,22,11,8,2,66,34,9,18,2,5,0,0
CARP,USF,2,2,0,0,21,10,7,4,63,37,12,17,2,1,0,0
SMSJ,ARGJ,0,0,0,0,11,9,5,2,53,47,10,16,2,0,0,0
COL,CABJ,1,1,0,0,11,13,3,8,36,64,20,13,3,3,0,0
TEMP,TIG,1,1,0,0,12,14,3,7,46,54,13,11,3,6,0,0
EST,SL,0,2,0,0,11,12,1,3,59,41,13,12,3,2,0,0
CRU,OBB,0,0,0,0,11,15,2,1,53,47,11,10,1,4,0,0
RAC,COL,4,1,1,0,19,11,8,1,49,51,14,12,1,3,0,0
BAN,SMSJ,3,2,0,0,16,13,7,5,46,54,10,17,2,5,0,0
CABJ,DYJ,2,1,0,0,12,9,5,4,58,42,12,15,2,4,0,0
USF,IND,1,1,1,0,6,16,2,3,34,66,10,18,3,3,0,0
SARM,NOB,1,2,1,0,19,9,6,2,49,51,11,12,2,4,0,0
QUI,VEL,2,1,1,1,13,13,4,2,42,58,13,19,5,4,0,0
ARGJ,EST,2,2,0,1,21,6,6,2,68,32,12,14,2,4,1,1
SL,HUR,3,1,1,0,17,10,8,3,50,50,6,18,1,1,0,0
TIG,RAF,2,1,0,1,10,11,5,2,50,50,16,10,2,3,0,0
GCM,LAN,1,5,0,0,10,12,2,5,51,49,15,7,2,0,0,0
ROS,TEMP,1,0,0,0,11,10,4,4,60,40,20,19,2,3,1,0
