home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_fouls,away_foulshome_yellow,away_yellow,home_red,away_red
GLP,QUI,3,0,1,0,10,10,6,1,48,52,12,15,1,3,0,0
DYJ,VEL,0,2,0,0,17,14,3,5,47,53,13,16,1,5,0,0
SL,EST,4,0,2,0,9,10,7,5,52,48,12,15,4,4,0,0
IND,NOB,1,0,0,0,11,5,4,4,42,58,10,14,1,1,1,0
ROS,RAC,0,3,0,0,17,11,2,5,56,44,11,12,3,1,0,0
TIG,RAF,3,1,0,0,13,22,3,5,43,57,18,8,6,3,0,0
CARP,BAN,3,2,1,1,12,12,6,6,54,46,15,15,3,2,1,0
LAN,CABJ,2,2,0,0,14,18,7,7,39,61,10,16,2,5,0,1
GCM,OBB,0,3,0,1,16,15,6,7,53,47,12,7,2,1,0,0
ARS,BEL,0,2,0,0,11,14,0,5,57,43,12,23,3,3,0,0
EST,TIG,4,2,0,0,13,6,6,2,63,37,8,19,3,4,0,1
VEL,SL,0,2,0,0,12,6,3,3,66,34,10,7,2,1,0,0
RAF,ARS,1,6,0,0,14,16,7,9,62,38,10,10,4,0,0,0
BAN,ROS,2,3,1,0,14,10,5,4,64,36,13,8,1,4,0,0
OBB,DYJ,0,0,0,0,13,10,2,5,49,51,19,14,2,3,0,0
BEL,IND,4,0,0,0,18,10,8,2,32,68,11,10,1,3,0,1
NOB,LAN,0,0,0,0,27,11,8,1,64,36,9,15,1,2,0,0
CABJ,GLP,0,2,0,0,22,7,9,3,72,28,14,14,1,1,0,0
QUI,CARP,0,1,0,0,3,14,0,4,31,69,14,9,2,2,0,0
RAC,GCM,1,0,0,0,14,6,6,1,48,52,12,21,1,5,0,0
