home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_fouls,away_foulshome_yellow,away_yellow,home_red,away_red
EST,CARP,0,0,1,0,15,5,7,3,41,59,16,10,2,1,0,0
NOB,COL,0,1,0,0,24,8,9,3,73,27,11,15,2,4,2,1
CABJ,SL,0,0,0,0,10,4,5,1,61,39,14,15,4,1,0,2
ALLB,ARS,1,1,0,0,10,14,4,5,54,46,14,15,3,4,0,0
BEL,GCM,1,2,0,0,10,11,3,6,39,61,16,12,2,2,0,0
RAC,GLP,0,1,0,0,15,8,6,2,53,47,9,22,1,1,0,0
ROS,EST,0,0,0,0,5,16,0,3,56,44,16,8,2,3,0,0
QUI,OBB,0,1,0,0,11,6,4,4,59,41,18,11,5,3,0,0
SL,NOB,0,0,0,0,16,16,7,1,40,60,12,16,2,4,0,0
COL,BEL,0,0,0,0,8,6,3,0,46,54,15,23,3,3,0,0
ARS,LAN,3,1,0,0,26,21,11,4,43,57,7,13,1,2,0,0
CARP,VEL,1,0,0,0,15,11,5,4,57,43,13,23,1,6,0,0
TIG,CABJ,0,1,0,0,15,6,3,2,40,60,8,10,0,2,0,0
GCM,RAF,3,0,0,0,14,5,7,1,67,33,11,6,0,2,0,0
GLP,ALLB,2,1,0,0,11,13,3,2,43,57,20,20,1,4,1,0
NOB,TIG,2,1,0,1,15,13,5,2,64,36,10,9,4,3,0,0
BEL,SL,0,0,0,0,13,10,1,3,46,54,10,13,3,1,0,0
RAF,COL,1,1,0,1,23,8,6,3,63,37,15,19,1,2,0,0
ARGJ,GLP,0,2,0,0,19,10,7,5,63,37,13,10,2,1,1,0
VEL,ROS,4,1,0,0,16,8,6,2,48,52,14,13,1,3,0,1
RAC,QUI,0,1,0,0,11,13,2,5,61,39,10,11,2,3,0,1
LAN,ALLB,1,0,0,0,12,16,3,7,54,46,14,18,5,1,0,0
CABJ,ARS,4,2,1,1,14,7,8,3,55,45,14,11,2,6,0,0
OBB,CARP,1,1,0,0,12,12,4,4,37,63,12,11,3,2,0,0
LAN,TIG,0,0,0,0,7,10,0,4,56,44,17,10,3,3,0,1
QUI,ARGJ,1,0,0,0,9,10,3,0,32,68,21,21,1,3,0,1
COL,EST,0,2,0,1,9,14,4,7,42,58,11,16,2,3,1,0
ROS,OBB,0,0,0,0,11,13,2,2,59,41,9,9,2,2,0,0
GCM,VEL,1,1,0,0,15,11,9,3,52,48,9,17,0,2,0,2
SL,RAF,2,0,0,0,12,8,3,2,61,39,8,13,2,6,0,1
ARS,NOB,3,2,0,1,24,16,9,5,28,72,10,17,1,3,0,0
GLP,LAN,0,0,0,0,8,11,2,0,40,60,13,13,3,1,0,0
CARP,RAC,3,2,1,1,13,11,4,3,60,40,19,17,2,4,1,0
TIG,BEL,2,1,0,0,17,13,7,6,60,40,15,19,2,2,0,2
OBB,GCM,3,1,1,0,10,7,6,2,39,61,17,16,3,3,1,1
BEL,ARS,0,0,0,0,18,11,2,1,47,53,17,14,2,3,0,0
QUI,GLP,2,0,0,0,7,8,2,4,46,54,20,23,3,3,0,0
ARGJ,CARP,0,2,0,0,6,16,1,8,36,64,15,19,2,2,0,0
ALLB,BEL,0,0,0,0,17,19,5,5,50,50,8,7,0,1,0,0
ROS,ARGJ,3,2,0,0,12,12,8,7,41,59,11,13,2,4,0,0
ARS,RAF,1,2,0,0,10,12,5,4,55,45,10,12,0,3,0,0
COL,OBB,2,1,1,0,9,6,5,2,43,57,16,9,3,2,0,0
GCM,RAC,2,1,0,0,15,6,6,4,47,53,16,18,1,1,0,1
GLP,CABJ,0,1,0,0,14,8,2,2,54,46,16,23,3,2,1,0
CARP,QUI,5,0,0,0,12,3,8,0,67,33,12,13,4,1,0,0
TIG,EST,2,1,0,0,10,20,6,5,52,48,10,12,1,2,0,2
LAN,NOB,1,1,0,0,23,8,8,5,40,60,8,14,2,3,1,0
SL,VEL,2,3,0,1,25,15,4,9,54,46,9,12,2,2,0,0
SL,CARP,0,1,0,0,8,5,5,1,47,53,17,15,3,4,0,0
ROS,QUI,3,1,0,0,13,9,7,2,60,40,11,6,3,2,0,0
DYJ,RAC,1,3,0,0,12,13,2,6,46,54,16,27,2,3,1,1
IND,RAF,3,0,0,0,13,6,8,4,65,35,9,12,0,1,0,0
CABJ,NOB,0,1,0,0,17,8,6,4,55,45,13,10,0,4,0,0
GLP,CARP,1,1,0,0,13,15,6,5,40,60,17,15,2,1,0,0
ARS,EST,2,1,0,0,12,15,4,7,44,56,10,17,0,4,0,0
TIG,VEL,0,1,0,0,7,13,0,4,47,53,12,17,0,1,0,1
LAN,BEL,1,0,0,0,8,15,5,2,47,53,15,20,2,3,0,0
NOB,GLP,1,1,0,0,11,8,4,4,69,31,13,15,3,4,0,1
OBB,TIG,2,1,2,1,19,6,9,2,46,54,14,11,2,5,0,0
BAN,DYJ,2,3,1,0,21,14,9,5,52,48,15,17,1,3,0,0
VEL,ARS,2,1,0,0,14,24,9,6,54,46,17,14,3,3,0,0
EST,IND,1,0,0,0,3,5,2,1,31,69,11,14,1,4,0,0
RAC,SL,2,0,0,0,6,5,3,1,43,57,16,24,3,4,1,0
CARP,ROS,2,0,0,0,15,3,6,0,58,42,21,16,1,4,0,0
BEL,CABJ,0,1,0,0,11,8,2,3,45,55,21,13,4,4,0,0
QUI,GCM,2,2,0,1,15,14,8,5,33,67,19,16,4,1,0,0
RAF,LAN,2,1,0,0,9,20,4,6,35,65,11,11,0,1,1,0
ARS,OBB,1,0,0,0,5,7,1,2,36,64,7,9,0,2,0,0
TIG,RAC,4,0,0,0,6,7,5,3,37,63,11,10,3,4,0,0
GLP,ROS,1,2,0,1,20,11,3,6,54,46,8,15,2,2,0,0
NOB,BEL,3,3,2,0,12,13,9,5,65,35,11,13,3,2,0,0
SL,BAN,0,2,0,0,11,21,3,9,52,48,9,13,3,2,1,0
LAN,EST,2,1,0,0,14,13,4,5,49,51,11,19,3,5,0,0
DYJ,QUI,1,1,0,0,12,9,3,4,65,35,21,20,1,2,1,1
CABJ,RAF,0,3,0,0,17,6,8,3,63,37,13,17,2,3,0,0
BEL,GLP,0,0,0,0,12,8,3,2,51,49,16,11,3,3,0,0
OBB,IND,1,2,1,0,7,13,5,7,36,64,8,13,1,3,1,0
RAC,ARS,1,0,1,0,19,10,3,3,62,38,11,18,2,1,0,0
RAF,NOB,2,3,0,0,21,14,7,7,51,49,8,4,3,2,0,0
