home_name,away_name,home_goals,away_goals,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal
CAP,SL,2,2,10,7,3,3
SL,SARM,2,1,15,10,6,5
OBB,SL,0,2,11,10,5,2
SL,VEL,3,2,21,7,4,3
HUR,SL,1,1,12,13,5,3
GLP,SL,0,0,17,14,3,3
SL,ARS,0,2,15,7,3,4
QUI,SL,3,0,10,15,7,3
