home_name,away_name,home_goals,away_goals,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal
SL,BEL,3,2,15,9,6,4
GCM,SL,0,1,12,9,1,5
SL,ROS,2,1,7,12,3,5
SL,HUR,1,0,15,12,3,5
IND,SL,0,1,19,8,6,3
SL,CARP,2,1,14,10,5,2
COL,SL,0,2,12,10,4,4
SL,BAN,1,1,14,11,5,6
